affID	sortedName	fieldID	fieldName	bf_avejif	bf_avecitation	bf_avehindex	bf_avepapercnt	af_avejif	af_avecitation	af_avehindex	af_avepapercnt
126520041	gong xinglong	121332964	physics	1.013284351928752	69.0	5.6	13.4	2.5223072689778845	535.0	22.0	19.4
126520041	guanwu wang	185592680	chemistry	2.4513016101419924	4.8	2.2	2.0	0.9094017052367427	36.8	5.2	8.8
126520041	haiyan liu	185592680	chemistry	1.8843849858056962	7.0	2.2	1.8	1.4336192790508646	32.4	5.6	3.8
126520041	han liang	121332964	physics	1.578995479545895	6.2	3.6	5.4	1.6745320276583004	14.8	6.0	1.8
126520041	haojun liang	185592680	chemistry	0.09121951219512195	0.0	0.0	0.2	0.858052028097414	1.2	0.6	0.4
126520041	he linghui	121332964	physics	0.5419252852602673	7.0	2.4	1.4	0.4614954039935394	13.6	4.8	0.8
126520041	he lixin	121332964	physics	1.675433354720526	28.8	2.6	5.4	1.9708683539944567	49.4	7.4	7.2
126520041	hengan wu	185592680	chemistry	0.0	57.8	8.2	6.6	0.0	260.0	19.8	10.2
126520041	hou zhonghuai	121332964	physics	0.9692268112652643	88.2	12.2	6.4	2.168975344367518	88.4	19.0	7.8
126520041	houqiang li	41008148	computer science	0.9445694330739519	148.0	10.0	14.8	2.146869645484574	368.0	24.6	25.2
126520041	hu shuiming	121332964	physics	1.31081612266998	24.4	10.6	5.4	2.1469200670850515	88.8	15.2	7.4
126520041	huang wen	33923547	mathematics	1.111046232572475	59.6	8.0	4.2	2.311003167680157	171.6	17.6	6.6
126520041	huang yunfeng	121332964	physics	1.3917812816194128	31.4	5.6	8.8	1.7574119312277723	170.6	11.6	6.8
126520041	jian zheng	121332964	physics	0.8643181652091642	4.8	1.8	3.8	1.403727468359051	15.2	4.8	5.6
126520041	jiuhou lei	127313418	geology	2.3235939694696683	7.0	1.8	7.2	2.3142887963854415	81.2	10.4	9.6
126520041	jun wang	185592680	chemistry	2.484241201231266	155.0	10.2	14.2	5.910340134684209	1149.2	36.8	23.4
126520041	junxian wang	121332964	physics	3.39661078310001	27.4	2.6	4.8	3.9990440890767913	120.8	11.2	4.8
126520041	kong xu	121332964	physics	3.4268015023506164	139.2	8.4	5.6	4.299170342010386	288.4	19.0	10.4
126520041	li liangbin	185592680	chemistry	2.6712563508811926	118.0	10.8	7.8	2.7962195694105008	352.0	24.4	19.4
126520041	li tao	127313418	geology	1.5464585991586908	9.2	3.0	4.4	3.9251782136993825	74.2	10.0	6.4
126520041	liwen niu	185592680	chemistry	1.3226712656956534	2.6	1.8	2.6	1.9204560305779528	18.0	3.8	5.2
126520041	ning xu	121332964	physics	1.6319500468917645	4.8	2.6	3.8	3.4393468579126796	51.6	8.0	4.8
126520041	qijin zhang	185592680	chemistry	0.8461617886507046	2.6	1.0	3.2	0.6822716860402644	32.2	6.6	13.6
126520041	qinghua shi	86803240	biology	3.0253267863049063	22.8	3.0	0.4	3.1827436984605386	92.6	6.4	6.4
126520041	qun wang	121332964	physics	1.2582312469733385	19.8	5.4	6.4	2.005037485338727	45.8	9.4	5.2
126520041	qunke xia	127313418	geology	1.9156070327956858	23.6	6.4	2.6	3.0698953913911518	129.8	13.4	3.4
126520041	shao xueguang	185592680	chemistry	0.8203045507459364	20.0	3.0	8.0	0.8795064438224024	112.0	10.6	8.4
126520041	shiqiang wei	185592680	chemistry	1.4559603917231785	13.8	3.8	5.2	3.1530041857791025	154.0	10.6	20.2
126520041	su yucai	33923547	mathematics	0.4568689434365347	4.6	1.8	3.0	0.6398811750152991	47.4	7.0	3.8
126520041	tian zhigang	71924100	medicine	0.0	0.4	0.4	0.2	2.7062374858145954	72.4	5.8	10.2
126520041	wenbin wu	185592680	chemistry	0.7846662626014709	18.0	7.2	4.2	1.9692145077615897	28.6	9.6	3.2
126520041	xie zhouqing	127313418	geology	2.088757138084293	53.0	6.4	5.4	2.859121202403589	159.2	15.0	6.0
126520041	yongfei zheng	127313418	geology	0.5899781315018198	1.4	1.2	1.0	0.534905208867933	20.4	3.6	5.2
126520041	zhao zifu	127313418	geology	2.494177823575355	252.8	16.8	7.0	3.2414858662078934	553.2	33.6	5.8
