fxID	assumeAwardYear	minYear	bf_jif	bf_aveCitation	bf_hindex	bf_paperCnt	af_jif	af_aveCitation	af_hindex	af_paperCnt
100003	2008	2002	0.6832130477028717	2.2533333333333334	3.0	1.2	0.609386845039019	1.829523809523809	6.4	0.2
100007	2009	2003	2.0155960599323612	6.540000000000001	3.4	1.2	6.530728203359109	13.337789661319073	11.2	6.0
100010	2006	1993	2.2059274759349417	14.38	6.0	1.6	0.6597439544807966	8.293181818181818	9.6	0.4
100017	2012	2007	1.528459066803236	1.1785714285714286	1.4	3.0	6.491592601219208	7.035095693779904	8.2	2.8
100021	2009	1997	1.236197747411325	2.0478269843406474	6.8	6.2	3.5459771113536824	5.765520907158045	17.0	16.4
100022	2008	2002	0.4210923012502243	3.4666666666666672	1.6	0.4	2.7706677925961887	6.352750305250305	6.4	5.2
100024	2006	1994	4.3777779138361925	4.266666666666667	3.4	1.4	10.206646433277855	3.5974481658692183	7.6	3.8
10003	2000	1987	1.331782945736434	4.154444444444445	7.4	0.8	5.140497045170863	3.969817927170868	12.0	2.0
100030	2006	1994	0.5228865654578704	1.5291741591741592	5.0	3.2	0.5554169570185634	1.9729484080353648	11.0	3.0
100047	2001	1992	0.0	0.0	0.0	0.8	1.3011361119743623	0.9	0.6	1.6
100052	2005	1998	0.0	0.0	0.0	1.2	0.03151862464183381	0.6	1.0	0.6
100062	2008	2002	0.5859967692775141	1.4	1.2	0.8	0.5042117239260341	3.2909523809523806	4.4	1.0
100064	2010	2003	1.9095450651625403	9.233449883449882	4.6	3.4	2.5582698678985794	7.448729468529246	18.2	3.6
100074	2009	2003	0.5960099228791422	1.0	0.6	1.2	1.0284191905124676	4.211904761904762	5.4	2.0
100084	2011	2001	0.002428057553956835	0.2	0.4	3.8	0.004037490987743331	0.6666666666666666	1.8	0.2
100091	2010	1996	0.3644208023914041	1.4666666666666666	2.4	0.6	0.13689320388349516	2.1	4.8	0.2
100105	2012	2007	1.793725941804253	2.7199999999999998	3.4	3.2	2.7158200815175952	6.27588885211074	13.6	12.0
100113	2010	2003	0.7307001801439215	1.5095238095238095	1.6	2.0	2.504584943482869	2.4053248505880083	6.6	2.6
100114	2009	2001	1.047380042465468	3.3114285714285714	4.2	2.8	1.4602350173815182	8.575238095238095	8.6	3.4
100117	2002	1990	0.9210815015556013	1.342857142857143	1.8	4.6	1.4417730337752062	2.1777936219859995	6.4	12.2
100118	2012	2005	1.6626051103497332	3.4161414565826336	5.4	3.6	4.189848667471912	6.321756532615493	17.6	15.2
10012	2012	2007	1.7448845396688906	2.259358974358974	4.0	8.4	3.025270180543296	2.919216300940439	13.4	8.0
100121	2005	1993	0.21939058171745152	2.4171428571428573	7.0	10.8	0.09574468085106383	2.4756986081264523	15.8	8.4
100124	2011	2004	1.9753477765589522	4.653781512605042	4.6	3.8	2.6547452838135905	5.583557913351017	14.0	5.6
100127	2010	1998	0.0	7.1033333333333335	4.6	0.0	2.503355239371027	3.589272727272727	6.2	12.4
100130	2007	2001	1.188383178215291	2.8883116883116884	3.2	2.4	1.4484867940999078	4.489134199134199	8.2	1.8
100132	2012	2001	0.24882792561083641	0.7	1.2	5.6	0.20306482042125168	2.081565656565657	5.8	1.2
100138	2010	1998	1.5988383670760038	1.5	1.6	0.2	0.2074829931972789	4.583333333333334	3.8	0.2
100139	2010	2005	1.0271491628475644	0.8	1.6	0.8	1.6802861436073702	2.555329768270945	5.0	6.6
100142	2012	2007	0.6766245233449942	1.2952380952380953	1.8	3.2	2.9391916697763807	10.194159003065442	20.2	17.2
100151	2004	1997	0.9044901811521602	3.9666666666666663	3.0	2.0	2.9983610767688575	4.043015873015873	8.0	4.6
100152	2012	1999	1.6473637331955342	1.353846153846154	1.8	6.0	3.2300865442086026	6.7331373374265535	20.4	9.4
100154	2011	2000	0.0011772584681541008	2.6	1.2	0.4	0.0	2.3	2.0	0.0
100157	2006	2001	0.7994778761061948	1.4	0.6	1.0	0.8069701204644293	8.346666666666668	3.2	1.0
100160	2011	2006	0.011509383981889257	0.0	0.0	0.6	0.6805295290538831	2.4	0.8	1.2
100166	2009	1988	0.15742992098314287	1.2	1.2	12.2	0.0077689243027888434	1.05	2.0	2.4
100167	2002	1996	0.3055732061093156	0.6	0.4	1.0	1.0534403854543557	2.3926406926406925	4.8	3.4
100168	2007	1995	0.25989096573208725	1.1085714285714285	2.8	0.2	0.4586666666666666	0.85	3.4	0.2
100171	2012	2006	0.7151221879208803	2.533333333333333	2.0	1.4	0.3683411214953271	8.063888888888888	6.6	0.4
100172	2012	2006	2.1406645624513607	3.6666666666666665	3.0	1.2	3.948357053074929	4.963333333333333	8.8	1.4
100175	2002	1997	0.25794139248242115	1.2	1.0	1.4	0.6993465889229407	1.7257575757575758	4.8	2.6
100177	2011	2006	0.5058694309698303	0.7333333333333333	1.0	2.2	1.7504383156774215	3.616383234085769	10.0	20.8
10018	2012	2006	0.0	0.4	1.0	0.0	3.5970455991191344	8.423247051798777	8.0	19.4
100185	2012	2007	1.4694888067902592	1.941428571428571	1.8	2.0	1.4945786911477963	2.3918437118437117	6.4	2.8
100187	2009	1989	2.5417322032048606	4.233333333333333	2.6	8.6	2.062425943773655	7.897657509157509	12.4	3.8
100201	2012	2007	5.6939696396797155	2.5	0.8	0.6	4.787534827960315	13.09	4.4	1.0
100205	2011	2005	2.2664060761351577	3.5285714285714285	4.0	5.0	2.7721128558696893	4.389547169026677	13.8	8.8
100209	2010	2004	0.0	0.2	0.6	0.4	1.4631326994664065	1.6666666666666665	1.4	2.8
