fxID	minYear	assumeAwardYear
24975	2006	2011
10133	2000	2006
45843	2006	2012
15531	2000	2008
68231	2003	2010
41483	1995	2000
70636	1989	2009
5491	2003	2011
59242	2002	2007
38657	2002	2009
75187	1994	2004
31253	1991	2004
58490	1998	2005
7158	1997	2012
18048	2001	2010
16839	1998	2007
30863	2004	2009
4783	1997	2012
86448	2004	2009
31767	2005	2010
66269	1991	2007
52542	2003	2010
1598	1991	1998
95365	2003	2009
14533	1999	2004
84027	2002	2009
41280	2006	2012
83211	2005	2012
31416	1996	2007
79036	1998	2007
63903	2002	2008
17819	1992	2005
69657	2003	2010
42503	2001	2006
86175	2003	2009
27711	1980	2003
96371	1992	2002
97185	1999	2008
31576	2003	2012
82515	2000	2012
77960	1988	2001
53169	2004	2009
52221	2003	2011
101699	2005	2011
10496	1986	2008
94616	2003	2008
23675	2003	2012
26588	2006	2012
22882	2002	2009
3342	1982	2002
90634	2007	2012
87463	2004	2011
35691	2003	2012
59210	1996	2012
69435	1998	2006
49951	1996	2007
58424	2002	2008
10246	2005	2012
81342	2003	2009
96891	2002	2010
5550	1982	2002
16424	2006	2011
28523	2004	2011
62268	1996	2006
26944	2007	2012
35190	2002	2009
42587	2007	2012
46664	1991	2012
86232	1997	2003
87028	2006	2012
72172	1987	2009
22883	2005	2011
58796	2003	2012
76804	2000	2007
98637	2007	2012
79934	2006	2011
67772	2004	2010
45864	1998	2007
10581	2001	2010
42224	2004	2011
27079	1997	2006
7888	2000	2009
29581	2007	2012
6504	2006	2011
66338	2003	2011
90503	2003	2012
38007	1994	2002
53797	2007	2012
22336	1997	2004
40109	2006	2012
96252	2000	2010
21523	2005	2012
24440	2000	2006
85729	2004	2010
97512	2002	2012
27	2006	2012
47381	1999	2004
26094	2000	2005
55409	1998	2010
54585	2002	2012
8831	2004	2010
8063	2004	2009
101669	2006	2012
67184	1997	2003
91701	2002	2012
47812	1997	2002
75805	2002	2011
57096	2005	2010
32719	2005	2011
16613	2006	2011
71291	1992	2008
67672	1997	2008
44126	2003	2008
1297	2001	2008
83281	2006	2011
31496	1994	2011
73788	1985	2008
12153	1997	2010
4531	2005	2010
16637	1999	2004
84954	2004	2012
9271	2005	2010
32749	2003	2011
62299	1997	2011
71312	1997	2011
77045	1989	2009
16227	2000	2006
2876	1999	2004
25773	2001	2006
2878	2006	2011
7351	2003	2009
99685	1998	2005
23234	2007	2012
61095	2004	2009
45806	1993	2008
15831	1988	2012
75852	2006	2012
24101	2005	2010
92	1994	2006
9293	1981	2004
8115	2002	2011
33172	2004	2010
14644	1989	2006
24966	2004	2010
95503	2000	2005
55072	1992	1997
53489	2005	2012
97588	2005	2011
62749	2007	2012
28174	2003	2010
96741	1994	2006
58716	1989	2007
60317	1998	2008
98038	2007	2012
74658	2007	2012
79996	1988	2006
97605	1997	2005
29451	2000	2009
20842	1990	2011
45845	2004	2009
101015	2004	2011
7032	1996	2002
55090	2003	2009
68159	2007	2012
35649	2005	2010
99733	1997	2012
87804	2006	2011
88595	2004	2011
87805	2000	2005
46692	2000	2011
20423	2006	2011
37300	1994	2004
75094	2004	2011
3769	1995	2002
95956	2000	2011
10996	2001	2007
46289	1999	2008
43031	1982	2007
11007	2006	2012
51521	1999	2008
21654	2001	2009
97234	2000	2007
86279	1993	2004
88213	1998	2008
67798	2006	2012
2543	1988	2007
53149	1993	2001
53544	2006	2012
41076	2004	2009
5840	2007	2012
75524	1999	2005
64096	2007	2012
35291	2001	2009
86704	2006	2012
22062	2005	2012
5842	2005	2011
15500	2002	2007
13106	2006	2012
25056	2006	2012
26261	2003	2012
97665	2001	2007
6273	2006	2011
97247	2000	2010
36121	2003	2009
58391	2004	2009
96427	1991	2005
15510	1989	2010
32428	2005	2010
89892	2006	2011
39442	2005	2012
69797	2001	2011
74339	2004	2012
21685	2000	2008
76344	2004	2009
83436	2005	2010
33270	1994	2012
1037	2006	2011
64924	1992	2001
80481	2007	2012
94750	1989	2002
97692	1987	2002
19668	2001	2012
62033	2004	2009
2582	1994	2007
85497	2007	2012
81727	1987	2011
629	1998	2010
80089	2005	2010
89919	2000	2010
45511	2000	2009
38636	2002	2007
48335	2006	2011
95189	2006	2011
39477	1989	2011
72701	1990	2005
93504	2007	2012
76794	2003	2012
15159	1997	2007
49551	2000	2008
96045	2007	2012
13553	2006	2011
78003	1998	2008
45131	1996	2012
58828	1996	2008
34926	2000	2011
31672	2005	2012
37418	1993	2001
93955	1999	2006
74787	2001	2007
13176	2003	2010
26715	1992	2007
33314	1991	2001
3875	2006	2011
7900	2005	2012
57291	1997	2006
98194	1992	2003
87903	2002	2012
70681	1997	2006
74803	2007	2012
100711	1998	2012
97313	2000	2008
20536	1992	2003
56050	2003	2009
54807	1995	2001
47209	1993	2005
13191	2001	2012
99861	2007	2012
12759	2005	2010
61247	2005	2010
5539	1994	2000
61666	2005	2010
41538	2004	2010
82168	2005	2010
28747	2005	2010
22605	2000	2006
21763	1999	2006
16830	2002	2012
78890	2006	2012
72327	1988	2006
26744	2006	2012
4326	2007	2012
45995	2001	2008
694	2001	2009
51214	2000	2005
17650	1998	2010
56067	2001	2010
56069	2005	2010
90750	2002	2009
2266	1993	2012
93145	2001	2012
61264	2007	2012
18451	2005	2010
86011	1998	2004
19335	2005	2010
39103	2006	2012
8665	2003	2009
15594	2006	2012
27936	2000	2005
88322	1999	2012
30033	2000	2011
25956	2006	2011
94424	1998	2007
62118	2005	2011
15223	2000	2008
11160	1998	2004
11588	2001	2006
21394	1995	2007
41562	1989	2002
30438	2002	2007
15229	1994	2010
16024	2005	2011
60488	2004	2010
62518	2006	2012
2280	2004	2010
96106	2006	2012
75255	1996	2001
83543	2007	2012
95290	1992	2010
99495	2002	2007
37071	2006	2012
98262	2000	2006
22208	1997	2006
21026	2004	2012
23473	1994	2005
64215	2007	2012
18076	1995	2004
43577	2006	2011
43580	1997	2006
85612	2003	2012
74864	1991	2009
40380	1999	2005
41957	2007	2012
35423	1991	2005
26386	1990	1999
14849	2006	2011
52070	1999	2010
65434	2007	2012
94864	2004	2012
96543	2006	2011
62971	2005	2012
99515	2003	2011
21033	2002	2008
14857	2005	2011
15629	2006	2012
12423	1998	2009
23048	2005	2010
1547	2002	2010
73625	2006	2012
90014	2004	2009
74881	2004	2011
90404	2004	2010
44839	2005	2010
6827	1990	1996
4384	2003	2011
58910	2003	2008
91199	2004	2009
82706	1987	2000
96963	2006	2011
69547	1998	2012
88362	2007	2012
68347	2003	2012
83569	2007	2012
94464	2005	2011
9915	2005	2012
10354	2002	2010
77696	2006	2011
24337	1989	2012
99088	2005	2012
3980	1997	2003
78535	2000	2008
87606	1994	2010
36289	1997	2010
28824	2000	2005
68361	1993	2012
96976	2003	2009
31349	2004	2011
88373	2006	2012
23922	2006	2011
78111	2005	2011
68765	2005	2011
60140	2007	2012
65062	1992	2007
41989	2007	2012
78965	2003	2010
17307	2005	2010
34654	1996	2010
19812	2002	2008
17735	1995	2012
71558	2003	2011
99944	2001	2008
67532	2007	2012
68378	2005	2010
18521	1993	2000
48862	1996	2005
31771	2004	2009
32602	2003	2011
34225	2001	2011
46512	1993	2000
93231	2005	2012
56989	2003	2008
97426	2007	2012
80630	2005	2010
51306	2007	2012
56990	1997	2006
9546	1995	2003
69175	1996	2005
99958	1995	2005
54515	2003	2012
78132	2007	2012
4426	2000	2006
14105	2007	2012
101605	2006	2012
54906	1986	2001
100409	2002	2011
77729	2006	2012
7231	2004	2011
98323	2002	2012
74091	2002	2011
21083	1996	2001
17753	1999	2004
88413	2004	2009
88416	2005	2010
28427	2005	2011
8758	2001	2012
84019	1996	2001
79403	2002	2012
77333	1994	2009
34685	2006	2012
2758	2003	2011
97018	2006	2011
19833	2003	2008
75334	1993	2007
97456	2006	2012
44490	2001	2007
95793	2001	2010
23556	2005	2012
51748	1994	2002
58971	2004	2009
65111	2005	2010
33040	2002	2007
33452	2007	2012
40065	1996	2008
54151	2003	2012
12896	1981	2001
72453	2001	2010
79423	2002	2008
90472	1998	2003
68422	2006	2011
84851	1996	2007
75739	2003	2012
43657	2004	2011
101633	2003	2009
39664	2004	2009
13335	2006	2012
43251	1990	2005
393	2005	2011
71601	2006	2011
76157	2000	2005
31412	2003	2010
17359	1997	2006
81910	2005	2011
48912	2001	2011
23574	2004	2012
28901	2005	2012
19860	2002	2010
43669	1998	2009
25697	2005	2010
50572	2004	2011
55380	2006	2011
80267	2005	2011
20263	2007	2012
38417	1996	2004
82793	1999	2007
23989	2000	2009
43269	1996	2002
84873	1995	2011
75368	2007	2012
56191	1994	2007
70026	2003	2010
97490	1992	2005
62226	1997	2012
39689	2002	2010
4069	1985	2008
76976	2002	2009
27296	2004	2009
29763	2005	2010
33083	2002	2007
48153	2003	2011
4078	2006	2012
94569	2007	2012
76984	2000	2007
76986	1991	2000
35134	2006	2012
57072	2002	2008
38872	2003	2012
70048	2007	2012
50979	1996	2007
63937	2007	2012
74164	2004	2011
48168	2002	2007
29778	2007	2012
59454	2007	2012
6532	2007	2012
50179	1996	2005
39289	1995	2010
49354	2007	2012
86565	2000	2010
85751	2007	2012
57094	1999	2011
51411	2004	2011
72112	1998	2012
58659	2004	2011
65588	1996	2004
85761	2000	2011
10879	2001	2007
8085	2005	2010
69284	1996	2010
16206	1997	2008
59469	2007	2012
49780	1997	2010
42535	2004	2010
86193	2006	2012
92513	2001	2006
24063	2000	2005
88118	2000	2006
11766	2005	2012
97128	2001	2008
49001	2000	2006
71699	2003	2008
39761	1996	2011
15820	1999	2009
20798	2004	2010
22395	1999	2004
6580	2002	2010
96724	2000	2005
81614	2006	2012
77449	1997	2012
26574	2002	2010
79122	2001	2007
94634	1996	2001
69324	1999	2012
10921	2000	2011
26157	2005	2010
91346	1988	2007
63569	2003	2012
77882	2005	2011
91751	2004	2010
27369	1989	2009
61920	2004	2009
77886	1997	2005
22413	2000	2006
67269	2005	2011
57908	1996	2007
47050	2007	2012
87394	2004	2012
6181	1993	2004
18286	2004	2011
74245	1997	2011
53093	1998	2003
10947	2001	2007
41760	1997	2011
36477	2005	2011
74646	1996	2009
88172	2005	2010
100124	2004	2011
70940	2001	2009
6199	1998	2011
58329	1985	2002
64460	1996	2004
69361	2005	2010
10970	2005	2010
25807	2005	2010
19163	2003	2008
82933	2006	2011
16276	2005	2012
73839	2003	2010
29880	1985	2008
55932	2007	2012
44223	2000	2005
2933	1996	2011
39815	2007	2012
99747	2002	2011
81233	2001	2008
566	2000	2011
22890	1991	2005
19606	1985	2008
25442	2005	2010
83799	2002	2008
28205	2000	2012
27420	2002	2008
93854	1998	2009
16716	1999	2006
43440	2007	2012
41068	1997	2012
4216	2006	2011
55976	2002	2009
56359	1997	2007
69401	2006	2012
29080	2006	2011
79607	1995	2002
92195	2001	2012
73479	1989	1994
44263	2006	2011
48291	2001	2007
76331	1997	2003
18754	1989	2011
80461	2000	2009
2176	2005	2012
15915	1991	2006
5848	2007	2012
55578	2007	2012
85079	1995	2002
73503	1997	2008
3394	1998	2012
47943	1998	2010
65719	1999	2009
74734	1994	2004
52386	2005	2012
60387	1993	2012
85091	1990	2001
5051	2007	2012
96847	1995	2003
23358	2006	2011
51957	1995	2000
25092	2003	2012
77987	1996	2001
36152	1994	2003
101101	2001	2010
53982	2007	2012
98995	1996	2004
202	2003	2012
58816	2004	2009
48740	1999	2005
31214	1988	2000
97270	2006	2012
32882	2005	2012
48341	2004	2011
86751	2003	2011
87123	2004	2010
70655	2000	2007
39486	1999	2005
87889	1996	2008
50782	2000	2005
79671	2005	2012
26312	2006	2012
55180	1996	2003
64549	1989	2005
75990	1998	2008
61636	2002	2010
34540	2003	2012
84298	1996	2011
77204	2005	2012
3873	2004	2010
20530	2001	2006
85966	2005	2010
56439	1999	2009
51188	2007	2012
34545	2005	2012
7893	2007	2012
96068	2003	2011
78445	2004	2010
56446	2006	2012
42736	2000	2009
9040	2001	2006
32074	2002	2010
61661	2002	2009
90355	2007	2012
79708	1998	2007
20975	2004	2012
15993	1990	1999
60071	2003	2008
86365	2001	2009
73577	1996	2009
90360	1999	2007
59292	1987	2001
41915	1999	2008
60076	2006	2011
76838	2005	2010
78475	2000	2010
69083	1980	2003
74416	2003	2010
14810	2001	2006
45186	1998	2011
101154	1996	2008
86373	2007	2012
39952	1990	2008
65396	2006	2011
20565	2003	2010
23444	2004	2012
69883	1981	2003
275	2004	2011
40353	1995	2002
24733	2007	2012
24735	2002	2012
24306	2005	2011
43555	2000	2008
18051	1993	2005
56910	2006	2012
35790	2005	2011
7550	1999	2004
92741	2007	2012
7171	2006	2011
3502	2003	2010
69102	2004	2011
98253	2004	2010
85595	1999	2012
50838	1996	2006
716	2005	2011
68315	1997	2004
54449	2000	2008
21018	1997	2008
70307	2003	2010
17262	1998	2012
77260	2002	2011
20600	2001	2009
21402	2007	2012
69111	2006	2011
34171	1998	2008
5573	2007	2012
91563	2006	2012
71516	2001	2009
39984	1986	2003
13630	2000	2006
12410	2000	2011
67060	2001	2010
34181	1991	2010
10344	1996	2008
78086	1992	2005
