affID	sortedName	awardYear	fieldID	fieldName	bf_avejif	bf_avecitation	bf_avehindex	bf_avepapercnt	af_avejif	af_avecitation	af_avehindex	af_avepapercnt
39333907	fucheng zhang	2009	185592680	chemistry	0.0	2.4	1.8	0.8	0.18003340319026678	6.6	2.2	1.2
99065089	liu yule	2007	185592680	chemistry	1.0816901408450703	37.0	5.2	1.0	2.642426327924545	78.6	8.6	4.8
20231570	min shao	2011	185592680	chemistry	2.462599587890401	142.6	9.0	12.6	3.211698166718802	733.8	33.2	16.0
183067930	xu yuhong	2008	185592680	chemistry	2.294320633420735	18.8	3.0	5.2	3.5414947279936384	90.2	11.8	7.0
9224756	sun xudong	2004	185592680	chemistry	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19820366	deng feng	2004	185592680	chemistry	0.7087125508356938	9.6	3.8	6.4	1.838778851865488	129.2	10.2	21.4
19820366	weng yuxiang	2009	185592680	chemistry	1.359203512386402	37.2	5.4	6.0	2.5359174584364186	82.6	11.0	4.2
24943067	peiyi wu	2004	185592680	chemistry	0.9476615033466622	6.4	1.2	2.2	1.6946030714248297	41.2	6.4	9.8
19820366	guo guocong	2004	185592680	chemistry	0.4203093450039919	7.4	2.6	5.4	1.4413175552932598	127.2	8.8	21.6
19820366	jia yongfeng	2009	185592680	chemistry	1.4435687453190926	20.8	3.0	3.8	2.521559650162489	129.0	10.4	3.2
19820366	chen lidong	2003	185592680	chemistry	0.6529444774820254	4.2	1.2	6.2	1.1563464475506082	80.6	7.0	25.0
19820366	laigeng li	2007	185592680	chemistry	3.9494324853719665	34.6	3.2	1.0	2.46068570598241	66.2	6.4	1.6
19820366	jingbo li	2009	185592680	chemistry	0.9709837984830332	6.8	2.4	4.0	2.863976874068416	279.6	12.0	18.6
204983213	han jiecai	2007	185592680	chemistry	0.7513220324975654	22.0	4.0	11.8	1.5063016331247	242.6	13.6	32.4
19820366	changsheng zhang	2011	185592680	chemistry	1.393391140594698	28.8	4.8	2.2	4.242561175813174	164.4	14.6	9.2
