fxID	minYear	maxYear
2144	2004	2018
2149	2002	2017
2162	2003	2018
2163	2002	2017
2166	2005	2017
2169	2005	2017
2171	2002	2018
2176	2005	2017
2177	1999	2017
2178	1992	2017
2190	2006	2018
2196	1999	2018
2199	2004	2017
2205	2003	2015
2206	1998	2018
2208	2003	2014
2210	1990	2018
2213	2004	2017
2217	2002	2018
2235	2003	2017
2236	1991	2018
2237	2001	2017
2239	1994	2018
2241	2003	2018
2248	2005	2018
2252	1994	2018
2256	2002	2018
2266	1993	2016
2267	2003	2018
2270	1997	2017
2277	1997	2018
2280	2004	2018
2288	1995	2018
2289	2006	2018
2297	1997	2012
2298	2001	2017
2309	2002	2013
2320	1989	2010
2331	2005	2015
2336	2006	2018
2346	1997	2018
2370	1982	2018
2380	2000	2011
2382	2002	2017
2384	2007	2017
2385	2006	2017
2386	2006	2017
2389	2001	2017
2390	2004	2018
2391	1998	2016
2409	2003	2018
2416	1989	2018
2422	2002	2016
2426	1981	2014
2433	1996	2018
2438	1989	2010
2448	1997	2017
2449	2006	2017
2450	1992	2017
2451	1998	2018
2469	1983	2018
2481	2003	2018
2490	2007	2018
2491	2001	2017
2509	2006	2017
2514	2005	2018
2519	2007	2017
2523	1987	2016
2527	1991	2004
2529	2005	2017
2543	1988	2018
2547	2007	2018
2550	1998	2017
2555	2002	2016
2557	2004	2018
2564	2003	2018
2568	2002	2012
2572	2005	2018
2575	2007	2017
2581	2006	2018
2582	1994	2018
2592	2007	2018
2609	1996	2018
2612	2004	2018
2616	2002	2018
2621	2003	2018
2622	1995	2017
2626	2003	2018
2628	1985	2018
2632	2005	2018
2643	2000	2018
2653	2000	2018
2654	1992	2017
2659	1998	2014
2662	2006	2017
2663	2003	2018
2688	2004	2018
2689	2005	2016
2690	1999	2010
2703	2001	2018
2709	2003	2018
2713	1989	2018
2714	1996	2010
2719	1996	2015
2723	2007	2018
2731	2000	2017
2739	2006	2018
2747	1998	2018
2752	2001	2018
2758	2003	2017
2769	1994	2016
2770	1993	2017
2783	2004	2017
2787	1999	2018
2794	2000	2018
2798	1992	2017
2802	2004	2018
2803	2005	2016
2804	1980	2018
2808	2004	2017
2818	2001	2017
2826	2002	2017
2854	2005	2017
2855	1997	2018
2858	1995	2017
2864	2004	2018
2866	1987	2018
2871	2007	2017
2873	2002	2017
2876	1999	2018
2878	2006	2018
2890	2004	2017
2892	2005	2015
2893	2002	2018
2895	2001	2018
2906	2000	2017
2930	1994	2010
2933	1996	2016
2943	1983	2016
2955	1997	2018
2959	1997	2017
2961	2007	2018
2974	2005	2017
2980	2004	2016
2988	2002	2017
2991	2006	2018
2992	1992	2018
3003	2001	2017
3010	2006	2018
3020	2006	2017
3021	1992	2017
3027	2001	2016
3044	1996	2018
3048	2003	2017
3053	1998	2017
3056	2004	2017
3067	1996	2017
3083	2007	2017
