52158045	ding yang	1996	2002	6
205237279	bu wenjun	1996	2007	11
52158045	liu xuejun	2003	2014	11
19820366	jun wang	1973	2007	34
52158045	meng qingxiang	1999	2001	2
19820366	hong li	1990	2013	23
52158045	liu zhiyong	1998	2004	6
52158045	hanchun yang	2003	2008	5
52158045	qiao shiyan	1998	2005	7
52158045	ni zhongfu	1998	2009	11
19820366	yapu zhao	1995	2002	7
52158045	jianbo shen	1999	2009	10
19820366	bao yang	1991	2013	22
19820366	jiang yueming	1996	2004	8
52158045	cai wanzhi	2001	2008	7
75390827	feng wang	2000	2011	11
52158045	dawei li	1995	2003	8
52158045	dongtao ren	2003	2011	8
20231570	li tiejun	1997	2006	9
52158045	qin zhang	1997	2000	3
52158045	jinsheng lai	2004	2012	8
19820366	jing li	1987	2015	28
19820366	dongmei zhou	2000	2011	11
19820366	bojie fu	1994	1997	3
19820366	ge song	1997	2000	3
24943067	baorong lu	1987	2001	14
52158045	fu ying	2011	2013	2
19820366	hong zhang	1989	2012	23
52158045	jin weiwei	2008	2010	2
19820366	cheng zhukuan	1996	2003	7
19820366	pengye wang	1986	2000	14
19820366	guangsheng zhou	1996	2006	10
19820366	jiang zhu	1994	2002	8
19820366	yongguan zhu	2000	2002	2
19820366	jianru zuo	2001	2001	0
19820366	jian zhang	1981	2004	23
19820366	changzhi gu	1999	2008	9
19820366	wang zuoren	2000	2006	6
113940042	rentao song	2001	2014	13
19820366	li xin	1988	2009	21
99065089	jiang shengyao	1995	2003	8
126520041	gong weimin	1996	2002	6
19820366	fei wang	1999	2010	11
19820366	fudi wang	2008	2012	4
96852419	aibing zhang	2009	2014	5
19820366	wang yan	1994	2013	19
19820366	haibin wang	2003	2008	5
52158045	meijia zhang	2005	2014	9
119454577	weiyun zhu	1970	2000	30
19820366	wang yonghong	1997	2010	13
19820366	gan zhang	1996	2011	15
99065089	lu wei	1995	2014	19
19820366	feng qi	1997	2007	10
52158045	cui sheng	1998	2003	5
20231570	cai shaoqing	1988	2004	16
19820366	liu xingzhong	2003	2006	3
19820366	xunhua zheng	1992	2004	12
19820366	xing xu	1998	2001	3
177933477	liu shanrong	2004	2014	10
19820366	bai yongfei	2002	2008	6
19820366	chen liding	1995	2009	14
19820366	yuan zengqiang	1991	2011	20
19820366	liu qingsong	1998	2010	12
19820366	jun lin	1995	2002	7
19820366	congqiang liu	1990	1996	6
25254941	haiyun ren	2000	2003	3
19820366	chengcai chu	1998	2008	10
19820366	hongqing ling	1987	2002	15
19820366	bin han	1999	2003	4
19820366	chuanyou li	1998	2004	6
24185976	liu yongsheng	2007	2008	1
19820366	fumin lei	2002	2009	7
27357992	qing yang	1999	2014	15
19820366	jinxia wang	2001	2009	8
19820366	jinshui wu	1990	1999	9
19820366	chengshu wang	2005	2012	7
19820366	hong liu	1984	2010	26
19820366	wang xiangdong	1998	2005	7
19820366	dai xi	1998	2011	13
19820366	li wang	1990	2002	12
19820366	kun yang	1987	2013	26
20231570	bin chen	1996	2013	17
19820366	suojiang zhang	1998	2006	8
19820366	bing sun	1999	2003	4
19820366	ke xu	1990	2013	23
19820366	wang yun	1998	2014	16
19820366	yihua zhou	1998	2011	13
19820366	li liu	1992	2006	14
19820366	liu yu	1995	2005	10
20231570	yan zhang	1984	2014	30
20231570	xing zhang	1989	2009	20
19820366	xinyu zhang	1995	2005	10
19820366	dong xiuzhu	2000	2000	0
19820366	wang yuesi	1998	2005	7
19820366	cai zucong	1996	2001	5
119454577	jianwen zou	2003	2012	9
99065089	liu yule	1992	2007	15
162868743	liu wenguang	1997	2013	16
19820366	yao yijian	1990	2000	10
19820366	feng huang	1993	2006	13
19820366	fu xiangdong	1998	2005	7
19820366	weicai yang	1990	2004	14
19820366	jun yang	1994	2014	20
19820366	jun xu	1993	2004	11
19820366	dai jiayin	2006	2010	4
19820366	min yang	1997	2005	8
19820366	wei zhiyi	1998	2002	4
19820366	chen tongbin	2002	2003	1
76130692	jianxin liu	1995	2003	8
194450716	wensheng yang	1989	2008	19
143593769	feng yaoyu	2007	2014	7
19820366	chenghu zhou	2001	2002	1
99065089	lei liu	2001	2012	11
126520041	fu yao	2002	2013	11
19820366	che yongsheng	2006	2009	3
24943067	tang yi	1988	2003	15
74837319	huang lusheng	2000	2004	4
19820366	jun wu	1995	2011	16
115488153	chen jing	1992	2014	22
19820366	qingyuan sun	1994	2002	8
19820366	hailin wang	1998	2011	13
19820366	changqing zeng	1991	2002	11
19820366	lin wei	1990	2012	22
154099455	huaijin zhang	1994	2010	16
19820366	he hong	1994	2004	10
19820366	xiaoyuan yan	1997	2014	17
20231570	min shao	1995	2011	16
19820366	luo yongming	1996	2001	5
19820366	fei xu	1991	2003	12
173899330	chunpeng song	2000	2006	6
19820366	geng yong	2004	2013	9
19820366	jinsong li	1989	2012	23
19820366	hao zhengping	1996	2007	11
19820366	jinxing lin	1998	2002	4
19820366	chunming liu	2000	2006	6
19820366	huang shanjin	2003	2011	8
19820366	wang xiaoqun	2002	2004	2
19820366	ping xie	1993	2002	9
177933477	chaoyu miao	2001	2005	4
19820366	wang xiujie	2003	2007	4
19820366	jiang wei	1995	2007	12
19820366	jiang taijiao	2005	2011	6
19820366	shougang zhang	1997	2010	13
119454577	wenhua zhang	1998	2006	8
19820366	gui yu	1986	2008	22
19820366	chen ming	1991	1998	7
52158045	yaofeng zhao	1998	2007	9
76214153	wang yuhua	1919	2009	90
19820366	pan yongxin	1998	2003	5
19820366	rixiang zhu	1993	1994	1
19820366	linxiu zhang	1997	2002	5
