19820366	jun wang	1973	2007	34
52158045	meng qingxiang	1999	2001	2
52158045	qin zhang	1997	2000	3
19820366	jing li	1987	2015	28
19820366	bojie fu	1994	1997	3
19820366	ge song	1997	2000	3
52158045	fu ying	2011	2013	2
52158045	jin weiwei	2008	2010	2
19820366	yongguan zhu	2000	2002	2
19820366	jianru zuo	2001	2001	0
19820366	fudi wang	2008	2012	4
119454577	weiyun zhu	1970	2000	30
19820366	liu xingzhong	2003	2006	3
19820366	xing xu	1998	2001	3
25254941	haiyun ren	2000	2003	3
19820366	bin han	1999	2003	4
24185976	liu yongsheng	2007	2008	1
19820366	hong liu	1984	2010	26
19820366	kun yang	1987	2013	26
19820366	bing sun	1999	2003	4
20231570	yan zhang	1984	2014	30
19820366	dong xiuzhu	2000	2000	0
19820366	dai jiayin	2006	2010	4
19820366	wei zhiyi	1998	2002	4
19820366	chen tongbin	2002	2003	1
19820366	chenghu zhou	2001	2002	1
19820366	che yongsheng	2006	2009	3
74837319	huang lusheng	2000	2004	4
19820366	jinxing lin	1998	2002	4
19820366	wang xiaoqun	2002	2004	2
177933477	chaoyu miao	2001	2005	4
19820366	wang xiujie	2003	2007	4
76214153	wang yuhua	1919	2009	90
19820366	rixiang zhu	1993	1994	1
52158045	shijun zheng	2006	2007	1
19820366	ding kuiling	1999	2002	3
19820366	hu ruifa	1999	2003	4
19820366	xueliang zhu	1996	2000	4
19820366	guirui yu	2001	2002	1
76130692	lizhong zhu	1999	2001	2
19820366	chen liangbiao	2003	2006	3
19820366	li xianhua	1994	1997	3
146620803	cai yuanqiang	2008	2010	2
24943067	haojie lu	1914	2010	96
19820366	weng xuchu	2003	2004	1
76130692	fang shengguo	2002	2003	1
19820366	li zhiyuan	1912	2005	93
19820366	yuliang zhao	2005	2005	0
76130692	he zhenli	2000	2000	0
19820366	jingzhu zhao	2001	2003	2
19820366	shen wenjie	2006	2010	4
76130692	huang zhilong	2007	2010	3
19820366	yu yue	1997	2000	3
76130692	linrong lu	2010	2013	3
19820366	jiang weihong	1999	2001	2
19820366	wang weihua	1998	2001	3
19820366	jikai liu	2000	2002	2
119454577	tianzhen zhang	1996	2000	4
76130692	高超	2009	2013	4
58200834	hou jinlin	1998	2002	4
24185976	hong tang	1969	2003	34
78978612	jiao xinan	2001	2004	3
19820366	guanghui ma	2001	2001	0
38877650	lidong wang	1998	2000	2
19820366	cheng huiming	1997	2000	3
19820366	xu yigang	1997	1999	2
19820366	cao xiaofeng	2002	2003	1
16609230	luo shenglian	2003	2007	4
19820366	wang yuefei	1999	2001	2
19820366	cheng xueqi	1988	2014	26
19820366	jiuhui qu	1999	2002	3
76569877	wang xuemei	1987	2013	26
24185976	dezhi mu	2005	2008	3
20231570	zhang zhifei	1986	2014	28
20231570	weiying zhang	1997	2000	3
20231570	chen erqiang	1996	2000	4
37796252	wei zhang	2003	2004	1
19820366	kong xiangyin	2000	2001	1
19820366	fuwen wei	1999	2001	2
19820366	chi wang	1999	2003	4
19820366	song weiguo	2004	2007	3
19820366	bingyu mao	2004	2004	0
94611258	ligeng ma	1998	2000	2
157773358	he jianguo	2001	2003	2
20231570	weiguo zhu	1969	2004	35
19820366	huang jirong	2005	2009	4
19820366	qin zhongjun	2000	2003	3
205237279	liao yi	2006	2010	4
76569877	aiqun li	2004	2007	3
19820366	shuyi zhang	1999	2000	1
19820366	tandong yao	1990	1994	4
76569877	wen zhang	2008	2012	4
19820366	hongbin zhai	2003	2006	3
66867065	ding pingxing	1994	1998	4
19820366	mu mu	1991	1994	3
19820366	donghang yan	1997	2000	3
19820366	lanqun mao	2002	2006	4
19820366	chenglin liu	1981	2008	27
76214153	donghuai sun	2002	2006	4
24943067	yuqiu zhang	2000	2004	4
19820366	zhang zhongjie	1996	1998	2
116953780	changjun jiang	2000	2001	1
19820366	ding kan	2007	2011	4
19820366	shen yuemao	1999	2003	4
19820366	fu shenglei	2005	2009	4
24943067	anquan jiang	2008	2012	4
19820366	wang youde	1996	2000	4
19820366	fan jing	2001	2004	3
158842170	张永兴	2002	2006	4
87780372	wang zhibiao	2001	2003	2
87780372	yuanyi zheng	2010	2014	4
154099455	hongxiang lou	1969	2009	40
82880672	qiu zhiping	2001	2004	3
25757504	miao xiexing	2000	2002	2
38877650	changyu shen	2001	2002	1
19820366	dengguo feng	1998	2000	2
148099405	ditao niu	2004	2007	3
92403157	wang xidong	2001	2004	3
90610280	junyu zheng	2009	2013	4
157773358	luo xiaonan	2002	2005	3
24943067	huang wei	2002	2003	1
157773358	huang jiwu	2000	2003	3
65081225	jun yao	2006	2009	3
113940042	genxi li	2008	2009	1
19820366	feifan guo	2011	2013	2
19820366	lai ren	2010	2010	0
151075929	cao jia	2001	2001	0
183067930	wei xunbin	2012	2014	2
