affID	sortedName	awardYear	fieldID	fieldName	minPaperYear	maxPaperYear
111381250	hailin zhang	2003	185592680	chemistry	1990	2017
111599522	chen jian	2006	185592680	chemistry	1992	2018
113940042	lu xionggang	2012	185592680	chemistry	2004	2018
119045251	xipeng xu	2008	185592680	chemistry	1999	2018
119454577	wenhua zhang	2006	185592680	chemistry	1998	2017
12411659	gao xiumei	2011	185592680	chemistry	1998	2018
125839683	baohua ji	2010	185592680	chemistry	2005	2017
126520041	chen chusheng	2002	185592680	chemistry	1993	2018
126520041	chen gao	2001	185592680	chemistry	1986	2018
126520041	cui hua	2006	185592680	chemistry	1990	2017
126520041	ding zejun	2000	185592680	chemistry	1993	2018
126520041	fei qi	2009	185592680	chemistry	1995	2017
126520041	gong weimin	2002	185592680	chemistry	1996	2009
126520041	guanwu wang	2001	185592680	chemistry	1995	2018
126520041	haiyan liu	2000	185592680	chemistry	1994	2017
126520041	haojun liang	2005	185592680	chemistry	1990	2014
126520041	jun wang	2011	185592680	chemistry	1987	2018
126520041	liwen niu	2000	185592680	chemistry	1988	2018
126520041	qijin zhang	2000	185592680	chemistry	1987	2018
126520041	shao xueguang	2003	185592680	chemistry	1996	2017
126520041	shiqiang wei	2007	185592680	chemistry	1994	2018
126520041	wenbin wu	2003	185592680	chemistry	1993	2017
139660479	huaming yang	2012	185592680	chemistry	1998	2018
143413998	shusheng zhang	2010	185592680	chemistry	2002	2014
143593769	jiaping lin	2009	185592680	chemistry	1999	2018
146620803	huang shaoming	2010	185592680	chemistry	2001	2018
151075929	huang yuesheng	2001	185592680	chemistry	1988	2017
154099455	li yuezhong	2008	185592680	chemistry	2002	2017
154099455	liu xiangfa	2006	185592680	chemistry	2000	2018
154099455	longwei yin	2010	185592680	chemistry	2000	2018
154099455	yuzhong zhang	2010	185592680	chemistry	1994	2017
157773358	chengxin wang	2011	185592680	chemistry	2003	2017
157773358	deng shaozhi	2007	185592680	chemistry	1998	2018
157773358	gangfeng ouyang	2012	185592680	chemistry	2003	2018
157773358	lu tongbu	2006	185592680	chemistry	1993	2018
157773358	mao zongwan	2007	185592680	chemistry	1998	2018
157773358	qiu rongliang	2012	185592680	chemistry	2002	2018
157773358	shuai xintao	2012	185592680	chemistry	2007	2018
158842170	fusheng pan	2007	185592680	chemistry	1991	2018
162868743	jiang zhongyi	2011	185592680	chemistry	1994	2018
162868743	junan ma	2012	185592680	chemistry	2006	2017
162868743	li yali	2006	185592680	chemistry	1999	2016
162868743	yingjin yuan	2004	185592680	chemistry	1994	2018
16609230	jiang jianhui	2010	185592680	chemistry	1995	2018
17145004	hejun li	2002	185592680	chemistry	1997	2018
173899330	chunpeng song	2006	185592680	chemistry	2000	2018
177933477	jiang yuanying	2008	185592680	chemistry	1985	2018
183067930	hu wenbin	2011	185592680	chemistry	1998	2018
183067930	jianguo li	2001	185592680	chemistry	1995	2018
183067930	lu qinghua	2009	185592680	chemistry	1999	2017
183067930	xinyuan zhu	2010	185592680	chemistry	1999	2018
183067930	xu yuhong	2008	185592680	chemistry	1990	2017
183067930	yongfeng zhou	2012	185592680	chemistry	2003	2018
184983240	liu yichun	2007	185592680	chemistry	1989	2018
189210763	hongbin zhang	2009	185592680	chemistry	1997	2017
191208505	dongliang peng	2008	185592680	chemistry	1997	2018
191208505	haiping xia	2009	185592680	chemistry	1995	2018
191208505	jiang yunbao	2004	185592680	chemistry	1991	2017
191208505	jianwei shuai	2011	185592680	chemistry	1995	2018
191208505	lasheng long	2008	185592680	chemistry	1999	2018
191208505	liu xingjun	2004	185592680	chemistry	1999	2018
191208505	lu xin	2004	185592680	chemistry	1995	2018
191208505	qiao wu	2004	185592680	chemistry	1999	2018
191208505	wang ye	2006	185592680	chemistry	2001	2018
191208505	xiaomei yan	2012	185592680	chemistry	1993	2018
191208505	yunwu zhang	2012	185592680	chemistry	2006	2017
194450716	geyu lu	2006	185592680	chemistry	1995	2018
194450716	hongwei song	2009	185592680	chemistry	2004	2018
194450716	liu mingyuan	2008	185592680	chemistry	1992	2018
194450716	lu zhongyuan	2010	185592680	chemistry	1996	2018
194450716	wensheng yang	2008	185592680	chemistry	1989	2018
196699116	jiaguo yu	2006	185592680	chemistry	2000	2018
19820366	andong xia	2008	185592680	chemistry	2002	2018
19820366	bai xuedong	2007	185592680	chemistry	2000	2017
19820366	benzhan zhu	2009	185592680	chemistry	2000	2017
19820366	bixian mai	2005	185592680	chemistry	1999	2018
19820366	cai xinxia	2011	185592680	chemistry	1997	2018
19820366	canzhong lu	2004	185592680	chemistry	1999	2018
19820366	cao junji	2009	185592680	chemistry	2002	2018
19820366	cao rong	2003	185592680	chemistry	1990	2018
19820366	cao xueqiang	2008	185592680	chemistry	1994	2017
19820366	chang chen	2012	185592680	chemistry	1999	2018
19820366	changsheng zhang	2011	185592680	chemistry	2003	2017
19820366	changzhi gu	2008	185592680	chemistry	1999	2018
19820366	chaozhong li	2003	185592680	chemistry	1993	2018
19820366	chen chuanfeng	2006	185592680	chemistry	1990	2018
19820366	chen fan	2012	185592680	chemistry	1998	2017
19820366	chen hangrong	2012	185592680	chemistry	2000	2017
19820366	chen jijun	2010	185592680	chemistry	2000	2018
19820366	chen lidong	2003	185592680	chemistry	1988	2018
19820366	chen ming	1998	185592680	chemistry	1991	2018
