affID	sortedName	fieldID	fieldName	paperID	authorID	paperYear	awardYear	citationCnt
19820366	xiaoguang yang	144133560	business	2227979075	2592413879	2013	2004	1
19820366	xiaoguang yang	144133560	business	2159193292	2592413879	2014	2004	46
19820366	xiaoguang yang	144133560	business	2089052428	2592413879	2015	2004	7
19820366	xiaoguang yang	144133560	business	1972463934	2592413879	2014	2004	3
19820366	xiaoguang yang	144133560	business	1980750278	2592413879	2014	2004	3
19820366	xiaoguang yang	144133560	business	1496880771	2592413879	2012	2004	7
19820366	xiaoguang yang	144133560	business	1989089683	2592413879	2014	2004	51
19820366	xiaoguang yang	144133560	business	2608089526	2592413879	2017	2004	0
19820366	xiaoguang yang	144133560	business	2612593977	2592413879	2017	2004	0
19820366	xiaoguang yang	144133560	business	2004588151	2592413879	2012	2004	2
19820366	xiaoguang yang	144133560	business	2225871043	2592413879	2016	2004	0
19820366	xiaoguang yang	144133560	business	2017337567	2592413879	2013	2004	9
19820366	xiaoguang yang	144133560	business	2127353230	2592413879	2011	2004	5
19820366	xiaoguang yang	144133560	business	2020194484	2592413879	2014	2004	0
19820366	xiaoguang yang	144133560	business	2136115542	2592413879	2015	2004	0
19820366	xiaoguang yang	144133560	business	2037786046	2592413879	2008	2004	13
19820366	xiaoguang yang	144133560	business	2468670678	2592413879	2017	2004	1
19820366	xiaoguang yang	144133560	business	2039796154	2592413879	2006	2004	13
19820366	xiaoguang yang	144133560	business	2042126613	2592413879	2014	2004	5
19820366	xiaoguang yang	144133560	business	2142179484	2592413879	2013	2004	1
19820366	xiaoguang yang	144133560	business	2178126158	2592413879	2012	2004	0
19820366	xiaoguang yang	144133560	business	2565121270	2592413879	2017	2004	0
19820366	xiaoguang yang	144133560	business	2766623684	2592413879	2018	2004	0
19820366	xiaoguang yang	144133560	business	2477498859	2592413879	2014	2004	0
19820366	xiaoguang yang	144133560	business	2082086189	2592413879	2014	2004	9
19820366	xiaoguang yang	144133560	business	2087096734	2592413879	2009	2004	29
19820366	xiaoguang yang	144133560	business	2091867090	2592413879	2013	2004	5
19820366	xiaoguang yang	144133560	business	2347307256	2300309873	2010	2004	0
19820366	xiaoguang yang	144133560	business	2349025286	2300309873	2008	2004	1
19820366	xiaoguang yang	144133560	business	2351574106	2300309873	2012	2004	0
19820366	xiaoguang yang	144133560	business	2352948093	2300309873	2010	2004	0
19820366	xiaoguang yang	144133560	business	2353341956	2300309873	2012	2004	0
19820366	xiaoguang yang	144133560	business	2315599848	2300309873	2012	2004	0
19820366	xiaoguang yang	144133560	business	2200388392	2300309873	2013	2004	3
19820366	xiaoguang yang	144133560	business	1501131054	2300309873	2013	2004	0
19820366	xiaoguang yang	144133560	business	2358470977	2300309873	2007	2004	0
19820366	xiaoguang yang	144133560	business	2359074485	2300309873	2011	2004	0
19820366	xiaoguang yang	144133560	business	2359414185	2300309873	2011	2004	0
19820366	xiaoguang yang	144133560	business	2359668267	2300309873	2011	2004	1
19820366	xiaoguang yang	144133560	business	2359782902	2300309873	2011	2004	0
19820366	xiaoguang yang	144133560	business	2361818260	2300309873	2005	2004	1
19820366	xiaoguang yang	144133560	business	2751656047	2300309873	2016	2004	0
19820366	xiaoguang yang	144133560	business	2013729242	2300309873	1997	2004	0
19820366	xiaoguang yang	144133560	business	2365284332	2300309873	2013	2004	0
19820366	xiaoguang yang	144133560	business	2487413821	2300309873	2016	2004	0
19820366	xiaoguang yang	144133560	business	2366363079	2300309873	2011	2004	1
19820366	xiaoguang yang	144133560	business	2366568642	2300309873	2011	2004	1
19820366	xiaoguang yang	144133560	business	2366772866	2300309873	2001	2004	0
19820366	xiaoguang yang	144133560	business	2755020708	2300309873	2017	2004	0
19820366	xiaoguang yang	144133560	business	2367796583	2300309873	2013	2004	0
19820366	xiaoguang yang	144133560	business	2368634291	2300309873	2011	2004	0
19820366	xiaoguang yang	144133560	business	2135303928	2300309873	2011	2004	1
19820366	xiaoguang yang	144133560	business	2755311298	2300309873	2009	2004	0
19820366	xiaoguang yang	144133560	business	2530227144	2300309873	2016	2004	2
19820366	xiaoguang yang	144133560	business	2325838670	2300309873	2001	2004	1
19820366	xiaoguang yang	144133560	business	2375554687	2300309873	2011	2004	0
19820366	xiaoguang yang	144133560	business	2376709227	2300309873	2012	2004	0
19820366	xiaoguang yang	144133560	business	1567213451	2300309873	2015	2004	0
19820366	xiaoguang yang	144133560	business	2379385478	2300309873	2005	2004	0
19820366	xiaoguang yang	144133560	business	2380023915	2300309873	2000	2004	4
19820366	xiaoguang yang	144133560	business	2380106684	2300309873	2011	2004	0
19820366	xiaoguang yang	144133560	business	629522829	2300309873	2006	2004	0
19820366	xiaoguang yang	144133560	business	2380679582	2300309873	2001	2004	1
19820366	xiaoguang yang	144133560	business	2381063119	2300309873	2007	2004	0
19820366	xiaoguang yang	144133560	business	2382125687	2300309873	2009	2004	0
19820366	xiaoguang yang	144133560	business	2329824751	2300309873	2009	2004	0
19820366	xiaoguang yang	144133560	business	2383747796	2300309873	2008	2004	2
19820366	xiaoguang yang	144133560	business	2065804644	2300309873	2008	2004	14
19820366	xiaoguang yang	144133560	business	2749499330	2300309873	2016	2004	0
19820366	xiaoguang yang	144133560	business	2385709331	2300309873	2009	2004	1
19820366	xiaoguang yang	144133560	business	2385861953	2300309873	2010	2004	0
19820366	xiaoguang yang	144133560	business	2388035976	2300309873	2007	2004	2
19820366	xiaoguang yang	144133560	business	1592938354	2300309873	2013	2004	0
19820366	xiaoguang yang	144133560	business	2389162348	2300309873	2009	2004	0
