	H	L	M	S1	S2	S3	aveCitationCnt	aveH-Index	aveJIF	avePaperCnt	award
2585426535	0	1	0	0	0	0	0.0	12.0	0.0	0.0	0
1910347612	0	1	0	0	0	0	0.0	1.0	0.0	0.0	0
2420797795	0	1	0	0	0	0	67.9	10.0	3.0762983535756883	2.6	0
2129418036	0	1	0	0	0	0	9.1	3.4	0.1222669617964672	1.6	0
2130647009	0	1	0	0	0	0	77.84945054945055	9.6	1.8441308438364503	10.0	0
2114268393	0	1	0	0	0	0	1.8857142857142857	0.8	0.4051853681056645	1.4	0
2138812682	0	1	0	0	0	0	14.5	3.2	1.3721531897202832	1.4	0
2163876039	0	1	0	0	0	0	14.6	10.6	0.8915736205370036	0.6	0
2142600833	1	0	0	0	0	0	20.61781980338501	44.0	3.0903565331857763	24.8	0
2017396131	0	1	0	0	0	0	1.2	0.2	0.35242718446601945	0.2	0
2499187671	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0
2136816253	0	1	0	0	0	0	16.333333333333332	1.4	0.7166331899211009	1.0	0
2171646946	1	0	0	0	0	0	36.287546521230716	53.4	4.2863170691330765	35.0	0
2155024381	0	1	0	0	0	0	0.0	3.0	0.0	0.0	0
2135958607	0	1	0	0	0	0	12.7	4.6	2.984504948731369	2.0	0
2106917834	0	1	0	0	0	0	49.16666666666667	10.6	3.1830975447358365	1.4	0
2155500052	0	1	0	0	0	0	6.266666666666668	10.8	3.65752741370402	1.6	0
2121443691	0	0	1	0	0	0	39.73333333333333	27.6	6.386931229154445	2.4	0
2528072962	0	1	0	0	0	0	0.0	1.0	0.0	0.0	0
2129593249	0	1	0	0	0	0	3.3	19.0	1.1293642438024651	0.6	0
2146048256	0	1	0	0	0	0	55.81444444444444	29.0	2.6575169889083328	10.2	0
2124225101	0	1	0	0	0	0	5.9	5.6	1.1211650158534192	1.0	0
2299437103	0	1	0	0	0	0	42.11666666666667	4.4	0.7902003657373371	2.6	0
2107803903	0	1	0	0	0	0	201.61333333333332	7.2	0.6895015702460718	3.2	0
2167979857	0	1	0	0	0	0	48.93333333333333	1.8	2.6496919556827434	1.0	0
2120394816	0	1	0	0	0	0	199.31777777777785	17.6	1.0890267339911948	3.6	0
2245040899	0	1	0	0	0	0	5.2799999999999985	2.4	0.9388914161100674	1.4	0
2506920196	0	1	0	0	0	0	12.4	4.6	1.7622005178791231	1.0	0
2155752892	0	1	0	0	0	0	49.48095238095239	9.6	1.9732806018271511	4.4	0
2167758628	0	0	1	0	0	0	16.356493506493507	31.6	1.4984854665864815	8.0	0
2428973165	0	1	0	0	0	0	13.7	2.8	1.8067778843834887	1.2	0
2154538814	1	0	0	0	0	0	55.54382284382285	61.4	4.5299752510105	16.8	0
2169899449	0	1	0	0	0	0	7.9	4.2	1.158973447973478	1.6	0
2157960410	0	1	0	0	0	0	17.2	6.2	0.4298279151134864	1.0	0
2124980087	0	1	0	0	0	0	39.3	7.2	4.7595389946883015	1.2	0
1968812139	0	1	0	0	0	0	19.566666666666666	7.8	3.2307594418974093	1.8	0
2122451041	0	1	0	0	0	0	15.116666666666667	14.0	0.8666470480524401	2.2	0
2121799127	0	0	1	0	0	0	7.595238095238094	15.4	1.7385768279841043	7.0	0
2578399752	0	1	0	0	0	0	12.883333333333333	4.2	4.392591235036713	1.6	0
2309164315	0	1	0	0	0	0	16.6	5.0	2.5003892100908067	0.6	0
1126371583	0	1	0	0	0	0	20.6	1.2	1.5282246673980278	0.6	0
2490185788	0	1	0	0	0	0	2.8	3.8	0.7769965181392601	0.6	0
2174116335	0	1	0	0	0	0	73.96666666666667	4.8	0.9205190836710662	2.0	0
2420186739	0	1	0	0	0	0	4.466666666666667	1.4	0.7187704122197809	1.0	0
2157101960	0	1	0	0	0	0	0.0	4.0	0.0	0.0	0
2577624551	0	1	0	0	0	0	6.4	0.8	0.3994737516005121	0.8	0
1972562975	0	1	0	0	0	0	0.33333333333333337	4.0	0.0	2.6	0
2096130056	0	1	0	0	0	0	0.9	1.2	0.0574738003309432	1.2	0
2135189109	0	0	1	0	0	0	6.0	18.2	0.8469272949574538	0.4	0
2101740809	0	1	0	0	0	0	17.0	0.6	1.0312232468213085	0.4	0
2109376833	0	1	0	0	0	0	29.868650793650797	16.0	2.3472260563215754	6.0	0
2096224780	0	1	0	0	0	0	23.916300366300373	23.6	2.3719538774602347	8.8	0
2300692282	0	1	0	0	0	0	70.7	2.0	2.3746813434365754	1.0	0
2428429988	0	1	0	0	0	0	13.933333333333332	1.0	0.35680047304335344	1.2	0
2588988522	0	1	0	0	0	0	26.884615384615394	17.8	2.156250899736495	4.2	0
2509319508	0	1	0	0	0	0	35.7	5.4	1.6176804094660036	3.0	0
2152922038	0	1	0	0	0	0	17.45	5.4	1.1082663274395137	1.6	0
2620912768	0	1	0	0	0	0	1.8444444444444443	5.0	1.5464771774324548	3.0	0
2143517294	0	1	0	0	0	0	31.85	4.4	1.874711548583252	1.6	0
2250419888	0	1	0	0	0	0	0.4	2.0	0.0	0.2	0
2133738430	0	1	0	0	0	0	27.488888888888887	7.0	3.1855558370884896	3.4	0
2121991166	0	1	0	0	0	0	55.35233596812546	32.4	1.8858724621089809	16.6	0
2572966537	0	1	0	0	0	0	13.8	3.8	0.4787009397457159	0.8	0
2095926508	0	1	0	0	0	0	14.39818181818182	13.2	2.056108192014137	8.2	0
2134507548	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0
2155508843	0	1	0	0	0	0	2.0	1.6	0.3108663496409132	0.6	0
2101790054	0	0	1	0	0	0	13.29	12.4	1.6044629350029755	2.4	0
2124457473	0	1	0	0	0	0	47.37797619047619	23.8	2.7757564558081578	12.8	0
680543339	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0
2109788877	0	1	0	0	0	0	9.45	3.4	0.7874372341199286	3.2	0
2141859088	0	1	0	0	0	0	7.56	14.8	2.2745042117710565	2.2	0
2112004371	0	1	0	0	0	0	14.866666666666667	8.6	1.3614608230608742	2.0	0
2156070389	0	0	1	0	0	0	57.36666666666667	30.6	2.7890527289764853	2.0	0
2099094960	0	1	0	0	0	0	5.9	5.0	0.369954608609781	1.0	0
2105823394	0	1	0	0	0	0	45.66190476190477	9.4	2.2649651289817454	3.0	0
2682361799	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0
2669455673	0	1	0	0	0	0	8.1	5.8	1.9700541816067336	2.4	0
2629046442	0	1	0	0	0	0	10.6	10.8	0.0	0.4	0
2169565136	0	1	0	0	0	0	43.9	3.0	2.423306679877769	1.8	0
2139383353	0	1	0	0	0	0	1.7	1.0	0.12095959595959595	0.8	0
2572577206	0	0	1	0	0	0	1.3772826086956522	7.0	1.3684476741593314	11.8	0
2645410941	0	1	0	0	0	0	8.2	3.2	0.7438891917898232	1.2	0
2322488068	0	1	0	0	0	0	4.1	5.8	1.4049844748387983	3.8	0
2698923267	0	1	0	0	0	0	0.0	11.0	0.0	0.0	0
2526354806	0	1	0	0	0	0	18.88846153846153	15.4	5.0830891630922075	8.2	0
2235351327	0	1	0	0	0	0	21.23616883116884	12.6	2.753289173084672	8.2	0
2115863081	0	1	0	0	0	0	0.4	1.0	0.0	0.2	0
2051112775	0	0	1	0	0	0	8.587543859649122	12.0	1.6828645696273388	11.4	0
2221072935	0	1	0	0	0	0	29.30412698412698	14.4	1.7681487121037442	6.2	0
2131857602	0	0	1	0	0	0	31.326262626262626	39.4	2.3337790066756363	7.0	0
2320426110	0	1	0	0	0	0	18.8	2.4	0.5418654739926011	0.6	0
2279508135	0	1	0	0	0	0	25.83333333333333	12.0	2.8537789953064716	2.2	0
2149967164	0	1	0	0	0	0	16.236363636363638	5.2	0.8512433331840061	3.2	0
2102715665	0	1	0	0	0	0	18.99333333333333	6.6	1.9399564882095657	3.2	0
2674843675	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0
2197204323	0	1	0	0	0	0	63.9	3.2	4.473785398648815	1.0	0
2121069363	0	1	0	0	0	0	19.05892857142857	7.8	1.1189839132786523	10.0	0
2105781040	0	1	0	0	0	0	14.76666666666667	6.4	1.4709060669143927	2.8	0
2610397620	0	1	0	0	0	0	17.0	8.8	3.5261913457210388	1.6	0
2297341045	0	1	0	0	0	0	13.2	4.4	1.657305417222251	0.8	0
2117782603	0	1	0	0	0	0	27.88666666666667	9.4	1.8232971418846202	4.0	0
2438976802	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0
2146436343	0	1	0	0	0	0	14.104155844155846	6.4	1.7156758301790311	6.2	0
2120317704	0	1	0	0	0	0	200.525	15.0	1.968779633777394	3.2	0
2126971597	0	0	1	0	0	0	3.09	11.8	1.913043161248644	5.0	0
2160966931	0	0	1	0	0	0	22.562142857142852	21.4	3.1503262581475253	7.6	0
2683236842	0	1	0	0	0	0	16.0	6.6	3.722901165288985	1.4	0
2122303705	0	1	0	0	0	0	5.7	3.4	0.7247547798872032	1.2	0
2142251200	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0
2135920179	0	1	0	0	0	0	23.766666666666666	5.6	4.011236191584844	1.6	0
2706688620	0	1	0	0	0	0	15.383333333333333	6.2	0.5821177921433469	1.4	0
2101867916	0	1	0	0	0	0	6.2	3.6	0.7622223748683428	0.6	0
2127389950	0	0	1	0	0	0	28.76045454545455	31.0	4.5276212502737225	15.2	0
2154701305	0	0	1	0	0	0	1.4555555555555555	22.0	2.7659994177291853	15.8	0
2148887477	0	1	0	0	0	0	55.4	10.4	1.6372855646673417	1.2	0
2569637065	0	1	0	0	0	0	11.266666666666667	12.0	2.135775868488536	0.8	0
2482558687	0	1	0	0	0	0	6.35	3.4	0.4292526808440905	2.6	0
2586495105	0	1	0	0	0	0	0.4333333333333333	1.6	0.17952292110874196	1.2	0
2164096993	0	1	0	0	0	0	21.85	4.6	3.3302169277373688	1.6	0
2158149647	0	1	0	0	0	0	40.99166666666667	9.0	1.6028387782679991	3.6	0
2139359872	0	1	0	0	0	0	8.1	13.4	1.5479163412733905	1.0	0
2273517658	0	1	0	0	0	0	0.0	2.0	0.0	0.0	0
2107184605	0	1	0	0	0	0	3.7	1.0	0.2521281904669691	0.6	0
2130533168	0	1	0	0	0	0	2.05	1.8	0.6669269256111583	1.4	0
2249889733	0	1	0	0	0	0	7.700000000000001	6.0	1.7663839423063905	2.2	0
2105004084	0	1	0	0	0	0	33.73333333333333	12.2	2.1012284678303383	1.8	0
2467333156	0	1	0	0	0	0	1.8	15.0	0.4991596638655461	0.2	0
2163948149	0	1	0	0	0	0	6.7700000000000005	4.8	0.8507158948873196	3.0	0
2097630498	0	1	0	0	0	0	0.0	8.0	0.0	0.0	0
2235950228	0	1	0	0	0	0	0.0	3.0	0.0	0.0	0
2309133828	0	1	0	0	0	0	9.485714285714286	2.0	0.9771710037699826	2.0	0
2143737760	0	1	0	0	0	0	74.0	0.4	0.7751527494908349	0.2	0
241592301	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0
2132032762	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0
2685000871	0	1	0	0	0	0	8.8	1.0	0.31411220358588776	0.2	0
2110091597	0	0	1	0	0	0	8.210757575757574	29.8	3.4589294180006265	8.6	0
2109351857	0	0	1	0	0	0	2.7	29.0	1.8027442493441657	1.8	0
2269141726	0	1	0	0	0	0	0.0	5.0	0.0	0.0	0
2102216805	0	0	1	0	0	0	20.25398601398601	23.8	1.905294787126208	11.6	0
2144967616	0	1	0	0	0	0	12.1	11.6	1.5697713093879746	1.4	0
2168088888	0	1	0	0	0	0	1.0	3.6	0.7374175399264146	1.0	0
2620743261	0	1	0	0	0	0	1.1	4.4	0.3560345203849222	0.8	0
2095973066	0	1	0	0	0	0	0.2	2.0	0.12235723674602016	0.6	0
2114173801	0	1	0	0	0	0	0.8	3.8	0.3124930594114381	0.2	0
2436231491	0	1	0	0	0	0	22.63333333333333	5.2	2.8512341739135745	1.4	0
2583711942	0	1	0	0	0	0	0.0	1.0	0.0	0.0	0
2142144324	0	0	1	0	0	0	9.569285714285718	23.4	3.5036539744375914	9.2	0
2633136282	0	1	0	0	0	0	0.0	2.0	0.2970314465408805	0.8	0
2136696627	0	0	1	0	0	0	15.670265682030392	29.4	4.488018566163232	12.4	0
2158260898	0	1	0	0	0	0	0.0	5.0	0.0	0.0	0
2147008306	0	1	0	0	0	0	7.85	1.8	0.26904761904761904	1.8	0
2135471349	0	1	0	0	0	0	6.7333333333333325	1.4	0.4174935246655272	1.0	0
2137266704	0	1	0	0	0	0	77.60571428571428	16.8	2.095099054651963	6.4	0
2168703332	0	1	0	0	0	0	11.212640692640694	17.0	2.658600008165704	17.0	0
2301860113	0	1	0	0	0	0	28.228571428571428	16.4	2.4982037874038627	4.6	0
2132452411	0	0	1	0	0	0	5.433333333333333	20.0	1.4487681623244086	2.2	0
2105015565	0	1	0	0	0	0	3.6	1.4	0.2608599779492834	0.2	0
2420702928	0	1	0	0	0	0	12.0	3.0	1.2697295657801573	1.6	0
2116122190	0	1	0	0	0	0	3.6	12.0	1.0881292236148596	0.8	0
2137872106	0	1	0	0	0	0	0.0	2.0	0.0	0.0	0
2128505437	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0
2125492118	0	1	0	0	0	0	20.633333333333333	2.4	1.3582609942114041	2.0	0
2108134994	0	1	0	0	0	0	36.65	13.6	3.055428929733276	1.8	0
2161572675	0	0	1	0	0	0	31.620303030303035	25.6	1.5303597431316105	7.4	0
2145805884	0	1	0	0	0	0	331.1	5.0	2.28098322963047	1.0	0
2111894757	0	1	0	0	0	0	23.86	11.8	2.0158099148300783	5.2	0
2101336747	0	1	0	0	0	0	28.90539215686274	9.4	1.6592600548738616	6.8	0
2104594067	0	1	0	0	0	0	1.2	2.0	0.04919614147909968	0.2	0
2684097888	0	1	0	0	0	0	0.2	7.0	0.8702908587257617	0.2	0
2430668537	0	1	0	0	0	0	0.0	21.0	0.0	0.0	0
2564746783	0	1	0	0	0	0	22.695454545454545	13.0	2.8333051750339138	6.6	0
2672612038	0	1	0	0	0	0	4.7	3.0	0.4426293785967523	0.8	0
2097784377	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0
2290637690	0	1	0	0	0	0	27.666666666666664	5.2	1.1310907361717886	1.0	0
2097470770	0	1	0	0	0	0	4.64	4.4	0.17009606816368922	1.0	0
2597524415	0	1	0	0	0	0	4.93	2.4	2.234249894961919	2.2	0
2113707818	0	1	0	0	0	0	3.4	2.6	1.0072981026414352	0.6	0
2151467832	0	1	0	0	0	0	0.0	4.0	0.0	0.0	0
2165440259	0	1	0	0	0	0	2.004848484848485	4.4	1.0750337007139183	4.6	0
2107573700	0	1	0	0	0	0	39.2	6.2	1.4833906474481615	1.6	0
2007547991	0	1	0	0	0	0	1.0	2.4	0.022040816326530613	0.2	0
2107811228	0	1	0	0	0	0	1.2	1.4	0.13857622958540813	0.6	0
2143804335	0	1	0	0	0	0	1.6	21.0	1.6248915275065827	0.8	0
2119546815	0	1	0	0	0	0	23.95888888888889	12.2	2.900491911937285	5.4	0
2132371958	0	1	0	0	0	0	8.559999999999999	6.6	0.9306858164154116	4.2	0
2108626641	0	1	0	0	0	0	6.6	6.0	1.6980281690140846	0.2	0
2140835453	0	1	0	0	0	0	2.6	0.4	0.45702970297029705	0.2	0
2625380526	0	1	0	0	0	0	14.525	7.6	2.116460751482766	4.8	0
2590361030	0	1	0	0	0	0	0.0	6.0	0.0	0.0	0
2298187013	0	1	0	0	0	0	6.8	2.6	0.7311365648357595	0.6	0
2118298011	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0
2113043869	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0
2161735462	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0
2110705915	0	1	0	0	0	0	0.0	11.0	0.0	0.0	0
2763403883	0	1	0	0	0	0	0.0	5.0	0.0	0.0	0
2116209495	0	1	0	0	0	0	10.930555555555555	7.8	1.0338324500873326	5.8	0
2158255297	0	1	0	0	0	0	8.5	8.6	2.9437467113150326	0.8	0
2709743151	0	1	0	0	0	0	87.76666666666668	9.0	3.7340842200427597	1.8	0
2096256243	1	0	0	0	0	0	40.815321289334435	53.8	6.829029840140818	27.0	0
2122960772	0	1	0	0	0	0	4.173333333333334	8.6	2.26977453881356	3.8	0
2428845296	0	1	0	0	0	0	17.183333333333334	9.2	0.6275645918876551	3.6	0
2235471002	0	1	0	0	0	0	2.6	4.0	0.27464612813945644	2.6	0
2171200862	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0
2132946446	0	1	0	0	0	0	3.4	0.2	0.3010153756890049	0.2	0
2252247208	0	1	0	0	0	0	3.073113553113553	3.2	0.0	20.8	0
2115039528	0	0	1	0	0	0	59.51000000000001	25.6	5.462577023643268	4.4	0
2168145360	0	1	0	0	0	0	86.03666666666668	14.4	4.935366322951522	3.8	0
2112651016	0	1	0	0	0	0	0.4	2.0	0.21649175412293853	0.2	0
2425472716	0	1	0	0	0	0	2.4082417582417586	3.4	1.24701157641245	7.4	0
2545898039	0	1	0	0	0	0	0.0	4.0	0.12941176470588234	0.6	0
2518223341	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0
2149179121	0	1	0	0	0	0	0.0	6.0	0.0	0.0	0
2152986995	0	1	0	0	0	0	31.276190476190475	11.0	1.4865580143272128	3.2	0
2585927258	0	1	0	0	0	0	3.2	8.0	0.9405857740585774	0.2	0
2331439848	0	1	0	0	0	0	1.0	4.0	0.2149425287356322	0.4	0
2114361230	0	1	0	0	0	0	24.36	14.2	1.6414503630168962	1.6	0
2118299508	0	1	0	0	0	0	17.766666666666673	9.6	4.002770430804574	3.4	0
2299076990	0	1	0	0	0	0	18.1	1.0	0.434024779623248	1.4	0
2168636615	0	1	0	0	0	0	6.1	3.2	0.6426564973366466	2.6	0
2154473071	0	1	0	0	0	0	2.3	11.0	0.5636296475416599	2.2	0
2499659807	0	1	0	0	0	0	8.2	2.4	3.919123887419276	1.4	0
2170764363	0	1	0	0	0	0	8.933333333333334	2.2	0.5079943204341655	1.8	0
2527066934	0	1	0	0	0	0	1.55	0.6	0.0	1.0	0
2585157491	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0
2263887713	0	1	0	0	0	0	2.1166666666666663	6.8	1.5001584437068307	1.8	0
2111332042	0	1	0	0	0	0	10.2	4.8	1.0846774628879892	0.6	0
2164946101	0	1	0	0	0	0	0.4	8.0	0.4848970944309928	0.2	0
2709438096	0	1	0	0	0	0	58.72571428571429	13.4	1.112053737925895	3.4	0
2151497270	0	1	0	0	0	0	14.4	4.0	0.4843410110515374	0.4	0
2564512449	0	1	0	0	0	0	1.4	0.2	0.0	0.2	0
2106233588	0	1	0	0	0	0	8.7	14.0	0.4492156482445943	0.4	0
