	aveCitationCnt	aveJIF	aveH-Index	avePaperCnt	L	M	H	award
(20231570, 'cai shaoqing')	21.86000000000001	1.2146585577969349	20.8	7.2	1	0	0	1
(24943067, 'tang yi')	27.22195360196001	3.0734485789699546	30.8	14.0	0	1	0	1
(76130692, 'xu zhikang')	34.2996969697	2.173625236090115	44.2	17.8	0	1	0	1
(19820366, 'guoliang xu')	35.185	0.8229196865131211	12.8	6.2	1	0	0	1
(19820366, 'chen lidong')	21.43769370726	1.1563464475506082	24.6	25.0	0	1	0	1
(151075929, 'huang yuesheng')	1.2	0.5422108294121778	5.0	1.6	1	0	0	1
(19820366, 'chen xiaosong')	1.9	0.3476874602709015	3.8	0.8	1	0	0	1
(24943067, 'jiang zuimin')	6.300714285713999	1.4869241827009418	14.8	7.4	0	1	0	1
(99065089, 'he hongjian')	13.25333333332	2.745881618451542	9.2	3.0	1	0	0	1
(90610280, 'qiu xueqing')	12.016282811386	2.1714298916694315	19.6	15.0	0	1	0	1
(19820366, 'li zhibo')	13.706666666659999	4.785646564708793	29.6	12.2	1	0	0	1
(17145004, 'xiaopeng zhao')	14.137138188602	0.9158148266217292	11.4	11.0	1	0	0	1
(19820366, 'guosheng liu')	17.698283272276	5.248021527450912	33.8	15.4	0	1	0	1
(99065089, 'liang xidong')	7.085714285711999	0.5066092300939633	7.8	8.2	1	0	0	1
(19820366, 'guanghui rao')	11.4	1.0692653113765096	11.4	1.6	0	1	0	1
(19820366, 'xu xuejun')	2.4533333333360003	2.10216082854576	13.0	3.4	0	1	0	1
(170215575, 'jianmin yuan')	3.65142857143	0.694435121797121	6.2	6.2	1	0	0	1
(881766915, 'chen yang')	13.810512820519998	3.4238664030885486	20.4	7.6	0	1	0	1
(126520041, 'liwen niu')	15.645238095232001	1.9204560305779528	8.8	5.2	1	0	0	1
(19820366, 'beiying wu')	0.8	0.21298041818785265	1.8	0.6	1	0	0	1
(19820366, 'hong zhang')	5.9152099260416	3.3624009161117447	44.4	78.6	0	0	1	1
(20231570, 'xing zhang')	5.156752923691999	1.4407919464703238	25.2	55.8	0	0	1	1
(194450716, 'wensheng yang')	24.47714864084	2.6877856546427643	34.6	12.8	0	1	0	1
(19820366, 'jinsong li')	22.506853146848	5.9653567296048795	20.8	8.8	1	0	0	1
(19820366, 'jia li')	7.877638372241999	2.9952076477130243	35.8	73.6	0	0	1	1
(37461747, 'li zhen')	9.186692307691999	3.892206022257377	51.4	32.0	0	0	1	1
(19820366, 'deqing zhang')	28.420675585300003	1.6327456710149817	28.2	23.8	1	0	0	1
(24943067, 'liejia qian')	5.70238095238	1.5925086074829835	13.4	6.8	0	1	0	1
(20231570, 'minghui zhao')	23.104094896339998	2.361907604509227	27.8	17.6	1	0	0	1
(19820366, 'jingfu liu')	29.52101449274	4.0340130937416765	41.0	14.0	0	1	0	1
(19820366, 'xiang yu')	13.823412698399999	4.586032403070875	17.6	6.8	1	0	0	1
(20231570, 'fang jing')	11.383333333340001	0.917578353862628	7.0	4.4	1	0	0	1
(82880672, 'huai jinpeng')	12.135677655672	0.74641470832784	14.8	13.4	1	0	0	1
(149594827, 'jiao licheng')	8.954390812394001	0.7047702845799002	19.2	58.8	0	1	0	1
(184983240, 'liu yichun')	41.10826558426	2.4756613515335517	38.4	24.2	0	1	0	1
(37461747, 'chuluo yang')	24.628278919219998	5.501892992928145	42.2	20.2	0	0	1	1
(19820366, 'cao daomin')	18.15	0.7624262125901519	15.2	3.4	1	0	0	1
(205237279, 'xiaoqing zhu')	18.5	2.6153969904330747	12.8	2.2	1	0	0	1
(19820366, 'huang mingdong')	15.783333333334	2.9079042499912804	12.8	7.8	1	0	0	1
(126520041, 'yongfei zheng')	28.835	0.534905208867933	8.8	5.2	1	0	0	1
(20231570, 'chunjing wei')	42.38333333334	1.9858333027602924	18.4	4.6	1	0	0	1
(19820366, 'hong liao')	35.55555555554	2.9027222218741806	14.8	4.8	1	0	0	1
(19820366, 'wu xiaoguang')	10.5	0.452432666480675	2.6	1.4	1	0	0	1
(47720641, 'xiao yi')	9.768333333334	2.493571394397452	9.6	5.0	1	0	0	1
(881766915, 'qingyu wu')	0.0	0.0	1.0	0.0	1	0	0	1
(19820366, 'hong li')	9.8068929278266	4.7974637136417995	62.4	46.6	0	0	1	1
(19820366, 'congqiang liu')	8.436507936518003	0.4931672370752166	8.4	6.8	1	0	0	1
(19820366, 'jinshui wu')	10.0	0.1843137254901961	4.2	0.4	1	0	0	1
(19820366, 'li wang')	20.25059462032	1.3652101686795928	24.0	30.8	1	0	0	1
(19820366, 'ke xu')	2.7848748473754	2.105333443506165	21.0	21.6	0	1	0	1
(19820366, 'yao yijian')	9.05	0.7498438421745028	5.2	1.4	1	0	0	1
(19820366, 'weicai yang')	70.05	5.221337015323901	23.4	4.2	1	0	0	1
(19820366, 'lin wei')	7.2988322440056015	3.1809363034397817	37.0	18.6	0	0	1	1
(20231570, 'pengfei tu')	19.37526917526	1.2531338602957014	24.4	19.2	1	0	0	1
(76130692, 'wu zhaohui')	12.374303233004	1.0991395338157977	25.4	29.6	0	0	1	1
(19820366, 'hu weiming')	15.227468409584	2.12791324785003	33.6	25.2	0	0	1	1
(19820366, 'feiyue wang')	27.059020979019998	0.5412583540712577	16.6	20.6	1	0	0	1
(19820366, 'jing liu')	12.101977687620002	1.0706639024366091	27.2	34.8	0	1	0	1
(19820366, 'deng feng')	32.192044175759996	1.838778851865488	27.2	21.4	0	1	0	1
(19820366, 'chun tang')	22.221666666660003	5.536933259664254	12.0	7.4	1	0	0	1
(19820366, 'li zhaoliang')	21.796103896105798	1.874405636025391	11.2	7.6	1	0	0	1
(47720641, 'xinliang zhang')	3.884635058036	2.3362396044021003	26.8	47.6	0	0	1	1
(111381250, 'hailin zhang')	7.77	1.6301618305227603	6.0	4.4	1	0	0	1
(183067930, 'xu yuhong')	17.36233766233	3.5414947279936384	16.8	7.0	1	0	0	1
(19820366, 'long mian')	17.53333333334	2.1723376971244903	4.0	1.6	1	0	0	1
(881766915, 'sun zhiwei')	6.558253968254	0.4978971861906264	16.6	11.8	0	1	0	1
(19820366, 'yin zhan')	9.683333333334	3.556769985700793	9.0	3.0	1	0	0	1
(19820366, 'cao rong')	23.85743271222	1.3144206900607327	35.2	17.2	0	0	1	1
(76214153, 'desheng xue')	14.17058950854	2.5549317410961825	27.0	22.8	0	1	0	1
(37461747, 'daiwen pang')	41.35463659146	1.551533845107913	19.0	9.6	1	0	0	1
(19820366, 'yunlin zhang')	6.723082706772	2.5492619061888218	25.0	16.0	0	1	0	1
(126520041, 'cui hua')	38.27555555556	2.4802930732955684	33.0	8.0	0	1	0	1
(9086337, 'dong jinxiang')	13.2082051282	2.7916223335890282	13.6	9.6	1	0	0	1
(19820366, 'chen chuanfeng')	24.75564102564001	2.394356696564984	34.8	16.0	0	1	0	1
(19820366, 'huang yongzhen')	8.689166666665999	1.3017543414163393	13.0	12.4	1	0	0	1
(20231570, 'hanqing zheng')	1.2	0.2381983875204591	4.6	0.4	1	0	0	1
(881766915, 'cheng jianchun')	2.1	0.060888565185724684	2.8	2.6	1	0	0	1
(194450716, 'hu ping')	5.4	0.4353648705396854	5.8	2.6	1	0	0	1
(126520041, 'haojun liang')	7.8	0.8580520280974141	2.0	0.4	1	0	0	1
(21945476, '李和兴')	0.0	0.0	0.0	0.0	1	0	0	1
(19820366, 'bao yang')	8.025151515154	2.8061209909062166	43.0	13.6	0	0	1	1
(19820366, 'yuan zengqiang')	15.453571428579998	4.5990274825157496	21.0	7.6	1	0	0	1
(19820366, 'changqing zeng')	551.0166666666	3.496889193571745	9.4	4.4	1	0	0	1
(19820366, 'fei xu')	4.0	0.22334217506631304	2.8	0.4	1	0	0	1
(19820366, 'chen ming')	26.78	1.4706410582069944	9.0	3.4	1	0	0	1
(19820366, 'jianghua sun')	17.488888888880002	1.5633187410234872	14.6	6.6	1	0	0	1
(19820366, 'dehua wang')	12.951904761906002	1.9120222886227325	21.4	8.8	1	0	0	1
(76130692, 'liu weiping')	10.025757575765999	0.7388422724926127	15.4	6.4	1	0	0	1
(76130692, 'ping wang')	10.841600036748	2.307430711536731	25.8	23.6	0	1	0	1
(19820366, 'jianlin luo')	5.316666666666	3.4758854770487964	11.6	3.6	0	1	0	1
(87445476, 'guang xi')	3.753846153846	1.3487811893926098	6.8	10.2	1	0	0	1
(19820366, 'jianqi li')	18.702380952374	1.0246245650196992	9.4	5.2	1	0	0	1
(19820366, 'gao hongjun')	23.397786935280003	1.4606448003714692	19.6	19.4	1	0	0	1
(39333907, 'fucheng zhang')	1.5	0.18003340319026678	3.8	1.2	1	0	0	1
(180726961, 'wang yiping')	1.8328164814308	0.0	18.0	20.8	0	1	0	1
