	aveCitationCnt	aveJIF	aveH-Index	avePaperCnt	L	M	H	award
(19820366, 'tang tao')	17.299809138220002	1.5671552169300444	25.0	15.6	0	1	0	1
(19820366, 'gao mingyuan')	126.2795238096	2.3481324509296138	15.6	5.0	1	0	0	1
(126520041, 'li tao')	4.544047619049398	3.925178213699384	12.0	6.4	1	0	0	1
(19820366, 'guo zhancheng')	6.577142857142	1.0064546481114245	5.8	4.4	1	0	0	1
(19820366, 'renbin zhan')	8.687272727272001	1.3788543198962913	19.0	6.8	1	0	0	1
(162868743, 'jiang zhongyi')	22.1086807929	5.2858027921871145	55.6	41.2	0	0	1	1
(19820366, 'aihui zhou')	12.175238095232	0.8576709715309091	13.0	7.0	1	0	0	1
(20231570, 'sodmergen')	24.02	2.364291560960052	8.2	2.6	1	0	0	1
(19820366, 'han jinlin')	0.2	0.024031606575493854	1.0	0.6	1	0	0	1
(19820366, 'yu zhiming')	15.993333333339999	0.5625624691228596	10.4	3.0	1	0	0	1
(154099455, 'yuzhong zhang')	12.113828677722001	3.4553655792210387	31.2	17.0	0	1	0	1
(19820366, 'fuzhou gong')	6.0	0.3894543191579541	5.2	0.6	1	0	0	1
(20231570, 'furong xu')	4.616666666666	0.9754397169716728	7.0	5.4	1	0	0	1
(183067930, 'haiguang xu')	4.060714285714	3.098524941730917	11.4	4.6	1	0	0	1
(162868743, 'yingjin yuan')	18.17499202552	1.7430418319291676	23.0	15.2	0	1	0	1
(205237279, 'baohui li')	14.983333333320001	3.1821825656191693	24.2	6.0	0	1	0	1
(204983213, 'jun liang')	2.7142857142860004	1.8759220478446919	11.8	4.0	0	1	0	1
(881766915, 'weiyi zhang')	19.23	1.1326570642722218	9.2	3.6	1	0	0	1
(99065089, 'dong xiang')	6.986577540116	0.6523071536610087	11.4	13.4	1	0	0	1
(204983213, 'feng jicai')	8.377777777774002	0.9729110105988198	11.8	10.4	1	0	0	1
(170215575, 'zhaowen zhuang')	0.7047619047610001	0.0606861191640801	3.2	8.8	1	0	0	1
(19820366, 'yapu zhao')	36.1331868132	0.9584896007047276	17.4	10.2	1	0	0	1
(52158045, 'dawei li')	18.05333333334	2.249015588453413	8.8	3.4	1	0	0	1
(99065089, 'jiang shengyao')	2.4266666666659997	0.3458851203334133	4.4	2.8	1	0	0	1
(99065089, 'lu wei')	1.602857142858	0.0	13.0	6.2	1	0	0	1
(19820366, 'chen liding')	14.57955377953	1.8703448192964385	34.0	13.8	0	1	0	1
(19820366, 'jun lin')	47.34482700272	1.43944213118596	27.0	16.2	1	0	0	1
(19820366, 'liu yu')	19.460289977814	1.4348676084012912	26.2	31.8	0	1	0	1
(19820366, 'xinyu zhang')	8.7433333333334	0.4461306239314132	4.6	4.4	1	0	0	1
(76130692, 'jianxin liu')	12.133506493503996	1.0175345617847045	12.2	14.4	1	0	0	1
(19820366, 'jun wu')	6.650394736848	2.3760785900853083	21.8	16.2	0	0	1	1
(20231570, 'min shao')	21.015108225107998	3.211698166718802	45.6	16.0	0	0	1	1
(19820366, 'jiang wei')	15.81505847954	2.6180297462060977	28.0	24.4	0	1	0	1
(19820366, 'ping wang')	12.101202915750001	3.64934919100406	47.8	48.6	0	0	1	1
(19820366, 'chen wang')	15.173377504849999	1.7027169003549054	24.8	27.8	0	0	1	1
(76130692, 'xu yiming')	29.433333333333998	1.590222799083809	18.2	2.6	1	0	0	1
(177933477, 'weiping zhang')	7.556410256416001	4.106437021890468	23.0	6.6	1	0	0	1
(76130692, 'luo yingwu')	13.413268398283998	4.482979427060741	28.8	7.4	0	1	0	1
(19820366, 'lijun wan')	32.31350039182	1.3896420417306317	23.4	30.0	1	0	0	1
(19820366, 'gao jie')	1.75	0.4455384615384617	3.6	3.4	1	0	0	1
(19820366, 'he hongping')	21.53219392374	1.6761084932902044	39.8	33.2	0	0	1	1
(19820366, 'wang zhaohui')	20.346412016666	5.645804466194465	34.8	27.4	0	0	1	1
(177933477, 'cao guangwen')	15.99367521367	3.252234585125373	28.2	19.6	0	1	0	1
(157773358, 'dan xie')	9.587174667431999	3.901366407634765	37.8	23.4	0	0	1	1
(151075929, 'jiang jianxin')	6.692857142858	1.612036202183594	7.6	4.2	1	0	0	1
(881766915, 'bin shi')	21.386666666666	0.7323244850809326	10.4	5.4	1	0	0	1
(19820366, 'lizhu wu')	23.391888111900002	1.7178150151295448	15.2	10.2	1	0	0	1
(99065089, 'baoding liu')	62.29682539681999	0.7338479240032563	35.0	7.0	0	1	0	1
(19820366, 'yan yonghong')	2.6320596331632005	0.8248954500944418	13.8	29.8	0	0	1	1
(19820366, 'zhonghe zhou')	70.28555555556	2.26544871650816	19.8	6.8	1	0	0	1
(9086337, 'bingshe xu')	13.26666666666	0.4694022916823458	6.2	2.6	1	0	0	1
(99065089, 'niu zhisheng')	29.546031746020002	1.33881464318556	24.0	21.6	0	0	1	1
(157773358, 'chen hao')	2.4	0.6420314076360669	5.0	0.6	1	0	0	1
(20231570, 'chen min')	2.2890476190482003	0.0	24.0	7.4	0	0	1	1
(20231570, 'yawen zhang')	41.78214285714	6.3146947267785345	45.2	6.2	0	0	1	1
(24943067, 'changchun wang')	42.84583333334	2.4070921954964546	34.0	12.0	0	1	0	1
(19820366, 'chunru wang')	32.63203463204	2.016249936412144	15.8	9.0	1	0	0	1
(19820366, 'bai zhongzhi')	55.8	0.8102597806025624	30.6	6.4	0	1	0	1
(25254941, 'cheng ying')	9.578205128198	1.3668949569010391	10.2	6.4	1	0	0	1
(881766915, 'jing ma')	22.68418498168	3.374231992942692	30.2	20.8	0	1	0	1
(24943067, 'jilie kong')	47.79525210084	2.73545479288274	35.2	13.6	0	1	0	1
(881766915, 'li xuandong')	10.29954545454	0.3817531545828064	9.2	7.0	1	0	0	1
(19820366, 'gehui wang')	11.075555555566002	3.5900760516854318	22.8	7.0	1	0	0	1
(19820366, 'jin zhi')	3.4032080200520003	0.3973933971845897	13.4	14.6	1	0	0	1
(19820366, 'sun xiaotao')	4.133333333334	0.31615704215701484	3.6	1.4	1	0	0	1
(19820366, 'ma yaoming')	17.66023310023	2.264584269921317	23.0	11.0	0	1	0	1
(191208505, 'lu xin')	43.054126984140005	3.380985801720412	23.2	7.2	0	1	0	1
(116953780, 'guoqiang li')	11.710434782607999	0.7313948400322408	9.4	7.8	1	0	0	1
(25757504, 'jiachen wang')	2.766666666666	0.18525198130461287	4.4	1.4	1	0	0	1
(191208505, 'jianwei shuai')	22.21666666666	2.1556760645399566	10.2	3.2	1	0	0	1
(16609230, 'jiang jianhui')	23.23089011558001	4.20366630999785	49.6	22.4	0	0	1	1
(90610280, 'qian yu')	11.653333333339999	0.9084903520762826	8.2	7.2	1	0	0	1
(90610280, 'li yuanyuan')	3.7	0.4978299436349562	5.2	1.8	1	0	0	1
(24943067, 'xia yongyao')	72.17039329843999	4.995944964565296	54.0	19.4	0	0	1	1
(19820366, 'yongsheng zhao')	20.31116522366	7.094973028648073	27.4	14.0	1	0	0	1
(139660479, 'chen xiaohong')	1.8	0.08069864463074086	2.6	4.6	1	0	0	1
(20231570, 'limin qi')	80.26071428579998	2.6828615403240006	35.2	6.6	1	0	0	1
(19820366, 'ning ye')	2.87748917749	0.0	21.8	6.4	0	1	0	1
(19820366, 'wang zifa')	11.091089743584002	3.12407328250279	36.2	23.8	0	0	1	1
(37461747, 'liu yi')	7.911670823146801	3.597588302025823	42.8	27.8	0	0	1	1
(19820366, 'chen zhongning')	23.534945054959998	2.1171240996596667	28.2	13.4	0	1	0	1
(58200834, 'xiangmin xu')	36.66666666666	2.258571367704792	8.0	2.6	1	0	0	1
(19820366, 'jirong sun')	16.540178571433998	1.5256423735089617	21.8	13.8	0	1	0	1
(126520041, 'guanwu wang')	19.993333333339997	0.9094017052367428	15.2	8.8	1	0	0	1
(99065089, 'jiangtao wen')	4.046969696972001	1.1746787826961882	16.8	9.8	0	1	0	1
(194450716, 'geyu lu')	22.4	2.076298190471456	9.6	7.2	1	0	0	1
(19820366, 'qi tao')	8.894364145652	2.3622211032985336	27.4	21.4	0	1	0	1
(173759888, 'liu shaojun')	7.12839937839	1.6056498695461756	13.2	9.6	1	0	0	1
(19820366, 'qingshan zhu')	3.2725589225580003	2.1451588981577374	24.0	16.4	0	1	0	1
(99065089, 'meirong zhang')	23.64	0.5813419280869774	18.4	3.6	1	0	0	1
(19820366, 'maoyan zhu')	13.20142857142	1.1011556847027264	21.6	5.6	0	1	0	1
(19820366, 'kong ping')	0.6	0.30163934426229505	4.0	0.2	1	0	0	1
(126520041, 'he linghui')	2.4	0.4614954039935394	6.4	0.8	1	0	0	1
(19820366, 'guo yuewei')	13.620150375948	0.6424993714693318	10.8	8.8	1	0	0	1
(19820366, 'jiang zhao')	5.292380952379999	2.2913681721528563	13.2	5.2	1	0	0	1
(19820366, 'changhe zhou')	4.2939682539699975	1.0941117668190932	10.0	13.6	1	0	0	1
(183067930, 'jianguo li')	10.87176470588	0.8660940113989491	7.8	11.0	1	0	0	1
(19820366, 'bai haiyang')	0.0	0.0	2.0	0.0	1	0	0	1
(99065089, 'xiaoping zheng')	4.651309193952	1.7060598243856568	14.8	37.2	0	0	1	1
(191208505, 'bangqin huang')	11.575	1.7511276330367802	17.2	7.4	0	1	0	1
(19820366, 'cuihong yang')	13.966666666660002	2.227490583174339	8.8	2.8	1	0	0	1
(19820366, 'bao lan')	58.05	7.4200250539078665	12.2	2.4	1	0	0	1
(126520041, 'fei qi')	27.60597470874	3.249708608060266	30.2	17.2	0	1	0	1
(99065089, 'chen zhiqiang')	0.08627450980399999	0.0	15.0	13.4	0	0	1	1
(99065089, 'tong zhou')	6.233333333334	1.4991706502238136	8.4	4.8	1	0	0	1
(191208505, 'haiping xia')	19.3735064935	4.089082391987089	25.4	10.2	1	0	0	1
(20231570, 'chen ke')	0.2	0.19759036144578312	7.0	0.2	1	0	0	1
(125839683, 'gengkai hu')	19.53666666666	1.2549913901591476	12.0	6.6	1	0	0	1
(99065089, 'liu yinghua')	0.8580952380939999	1.371808080738082	14.0	9.4	0	1	0	1
(157773358, 'fan zhong')	2.65	0.6951298746221417	6.4	1.2	1	0	0	1
(126520041, 'hou zhonghuai')	4.225	2.168975344367518	21.0	7.8	0	1	0	1
(163340411, 'ju ping')	12.34545454546	1.3681770010867491	13.0	7.6	1	0	0	1
(99065089, '陈志强')	0.0	0.0	1.0	0.8	0	1	0	1
(126520041, 'han liang')	2.38	1.6745320276583004	7.0	1.8	1	0	0	1
(119454577, 'li xianchun')	0.0	0.0	4.0	0.2	1	0	0	1
(9916479, 'huang xi')	0.6	0.0	1.8	0.6	1	0	0	1
(191208505, '吕鑫')	1.0	0.0	4.4	0.2	1	0	0	1
(52158045, 'ding yang')	2.6027302620644	0.3298381219018487	5.4	16.2	1	0	0	1
(205237279, 'bu wenjun')	15.590000000006	1.858530561417124	8.4	5.4	1	0	0	1
(19820366, 'jiang yueming')	36.03434553776	1.5362036100347252	42.8	26.8	0	1	0	1
(19820366, 'cheng zhukuan')	54.58251082252	4.1840972186136804	15.6	8.0	1	0	0	1
(19820366, 'guangsheng zhou')	20.738504273520004	1.9154038694220168	24.0	13.8	1	0	0	1
(126520041, 'gong weimin')	22.0	1.7222328178204789	7.0	1.0	1	0	0	1
(19820366, 'gan zhang')	17.444836847728	3.4843922261590374	54.8	35.8	0	0	1	1
(20231570, 'bin chen')	7.8252525252639975	3.018802099397618	43.0	10.4	0	0	1	1
(19820366, 'cai zucong')	39.7	1.6433368594194309	20.0	7.6	1	0	0	1
(19820366, 'luo yongming')	13.26633629528	0.9856990975406876	7.2	9.4	1	0	0	1
(19820366, 'hao zhengping')	33.308730158740005	2.7032439969130264	33.8	19.0	0	1	0	1
(19820366, 'chen mingsheng')	116.4	3.1983557518528998	8.2	2.0	1	0	0	1
(19820366, 'bai fengyan')	20.90277777778	3.2351871320211294	16.4	4.6	1	0	0	1
(76130692, 'pan yuanjiang')	8.845773524723999	2.6622572166716467	31.0	18.4	0	0	1	1
(76130692, 'min qiu')	1.9339130434780003	0.0	21.0	13.4	0	1	0	1
(19820366, 'wenjiao xiao')	82.49254658378	2.4749660056938683	38.2	15.0	0	1	0	1
(19820366, 'han xiufeng')	6.147769423560001	1.0570640323356026	11.8	17.4	0	1	0	1
(881766915, 'huang yongfeng')	2.7	0.3752491172830616	5.0	2.2	1	0	0	1
(90610280, 'shuizhu wu')	33.457222222220004	4.344750790772686	29.4	9.8	0	1	0	1
(177933477, 'sun yinghao')	9.3	1.0724283026393366	9.0	1.8	1	0	0	1
(19820366, 'guoyi zhou')	22.33640522876	1.9918018960124264	28.8	13.0	0	1	0	1
(19820366, 'fengchang wu')	27.56607142858	1.4921728232408176	19.0	11.8	1	0	0	1
(75390827, 'biaohua chen')	12.181904761919998	1.5467030648067503	14.8	12.2	0	1	0	1
(205237279, 'deling kong')	33.769246031739996	2.8185156120204047	20.0	13.2	1	0	0	1
(20231570, 'gu ying')	0.2589743589742	0.0	11.0	4.0	0	1	0	1
(19820366, 'hong yiguang')	56.09884364002001	1.14729485593239	15.0	12.0	1	0	0	1
(19820366, 'chen xueyuan')	19.03506493506	6.159672869278299	37.4	11.6	0	1	0	1
(19820366, 'sun weidong')	31.98103896104	2.2462611008833493	14.0	10.0	1	0	0	1
(20231570, 'lingdong sun')	13.126372079926	0.0	64.0	9.8	0	0	1	1
(19820366, 'chen xuesi')	52.8937728938	2.1945285239337373	49.4	37.8	1	0	0	1
(19820366, 'fuyuan wu')	121.74523809526	2.0075564993858706	33.4	15.4	1	0	0	1
(19820366, 'jimin sun')	73.08333333334002	2.379153717365205	22.2	3.8	1	0	0	1
(87445476, 'bai bofeng')	1.913371040724	0.0	15.0	11.8	0	1	0	1
(21193070, 'wang yongsheng')	9.579217958148	1.4166464144815325	20.0	36.8	0	1	0	1
(19820366, 'feng yuan')	21.3257142857	3.5806950902378962	17.6	9.2	1	0	0	1
(19820366, 'lin zhang')	17.838433304362	3.6717777933925255	35.6	24.6	0	0	1	1
(99065089, 'jianmin wang')	6.162240196072	1.6248658937133702	23.4	24.8	0	0	1	1
(90610280, 'sun zhendong')	3.3777777777799995	0.8040093054949518	11.6	5.4	0	1	0	1
(19820366, 'houyuan lu')	52.5	2.4125964764364816	18.6	3.0	1	0	0	1
(66867065, 'ruiliang zhu')	14.31523809524	1.4893237033058253	9.8	5.6	1	0	0	1
(19820366, 'fengqi liu')	3.438888888888	0.8604503639372535	11.6	6.0	0	1	0	1
(19820366, 'chen yongming')	20.57636363635	2.4371488309054503	27.6	9.6	1	0	0	1
(194450716, 'lu zhongyuan')	13.081010101020002	3.614802567391641	20.4	12.8	0	1	0	1
(21945476, 'hexing li')	33.349137931040005	3.8965472781491775	48.4	22.0	0	0	1	1
(19820366, 'gexia qiao')	5.287179487177999	2.037186583038395	12.2	12.2	0	1	0	1
(19820366, 'ji shen')	21.85094017094	1.571566039824482	23.6	13.0	0	1	0	1
(19820366, 'xiaohong zhou')	3.125	0.44496008824065214	5.8	5.6	0	1	0	1
(19820366, 'li xinqi')	8.853333333334	1.3160598920805957	11.4	4.8	1	0	0	1
(19820366, 'chen ping')	10.5749805749834	2.780831770957524	27.4	27.2	0	1	0	1
(19820366, 'dongfeng xue')	21.355491331348	3.471842608238224	23.6	20.8	1	0	0	1
(37461747, 'dihua wang')	5.979548872173999	3.93072226125896	26.8	11.2	0	1	0	1
(19820366, 'dongge ma')	40.62632060922	1.8040324163768664	28.6	30.6	1	0	0	1
(19820366, 'wang xinming')	18.126098901104	2.792729338089236	41.4	20.4	0	0	1	1
(19820366, 'shu wang')	37.33330227742	4.549123337534697	41.8	23.2	0	1	0	1
(20231570, 'li zichen')	11.383690476192	4.503013451213012	33.0	9.2	0	1	0	1
(19820366, 'qihua wang')	13.152597402602005	1.9675894251271089	31.4	27.2	0	1	0	1
(19820366, 'qingbai wu')	28.135164835159998	1.399784374696996	16.8	6.8	1	0	0	1
(19820366, 'hongwei zhao')	5.602380952386	0.6967833737268408	4.6	6.0	1	0	0	1
(19820366, 'lide tian')	13.09738095238	2.519862028670377	23.4	7.2	0	1	0	1
(191208505, 'hong zhao')	2.3666666666659997	0.6851737874490766	7.6	2.2	1	0	0	1
(19820366, 'hushan xu')	4.753030303028	0.8509085298863612	13.2	10.2	0	1	0	1
(19820366, 'liang xinmiao')	8.2	1.1381416504223525	2.8	0.4	1	0	0	1
(16609230, 'xiaobing zhang')	15.788308702792001	4.696677378230566	45.0	21.2	0	1	0	1
(126520041, 'shao xueguang')	13.069071146239999	0.8795064438224024	25.4	8.4	0	1	0	1
(19820366, 'dai yuhong')	10.596666666666	1.4417697735136508	24.6	6.6	1	0	0	1
(19820366, 'huimin ma')	28.355490196079998	2.373377204217133	17.6	8.2	0	1	0	1
(19820366, 'feimin huang')	12.202380952372	1.0324153628303752	10.2	4.6	1	0	0	1
(19820366, 'hu weiwu')	4.965384615384	0.18282254763029449	9.0	6.4	1	0	0	1
(19820366, 'wu yirong')	6.498111888107999	1.0162194944785667	9.4	14.8	1	0	0	1
(19820366, 'ding lin')	55.09444444446001	2.2811238814417667	31.4	10.2	0	1	0	1
(19820366, 'su weiping')	35.90335664336	2.8620412332271554	28.4	12.0	1	0	0	1
(19820366, 'weng yuxiang')	4.2714285714279985	2.5359174584364186	16.4	4.2	0	1	0	1
(19820366, 'changyin zhao')	2.3642857142858	1.073592264324717	4.6	5.8	1	0	0	1
(19820366, 'zhang zhefeng')	8.060714285714	0.9748398917255364	11.0	6.2	1	0	0	1
(19820366, 'pengfei yao')	6.4	0.4576703149728386	7.2	1.8	1	0	0	1
(76569877, 'aiguo song')	1.9975314540528	1.2055090337024752	23.0	18.8	0	0	1	1
(19820366, 'xunlai yuan')	91.05555555554001	3.7748389709573598	22.0	4.6	1	0	0	1
(19820366, 'cao juncheng')	1.9133333333334	0.245882323693304	3.2	2.8	1	0	0	1
(19820366, 'dejin wu')	0.8	0.1078234984804328	2.0	0.8	1	0	0	1
(19820366, 'jiping liu')	7.7799999999999985	1.374832230071276	11.0	2.4	1	0	0	1
(126520041, 'qun wang')	8.57	2.0050374853387267	11.6	5.2	0	1	0	1
(183067930, 'hu weisheng')	3.4254061041940007	1.2651002894829102	19.2	37.6	0	0	1	1
(881766915, 'xiuqun yang')	8.95	0.3060061570359097	5.4	1.6	1	0	0	1
(24943067, 'chen daofeng')	11.155238095232	1.92182512283583	20.8	5.8	0	1	0	1
(99065089, 'jie zhou')	10.730250237569999	3.0698795277226054	29.2	19.6	0	0	1	1
(99065089, 'yonggang zhao')	1.5	0.17995386173928818	1.2	0.8	1	0	0	1
(157773358, 'lixin yan')	16.366666666660002	0.9831000253573456	12.6	3.0	1	0	0	1
(87445476, 'jia shenli')	1.7174763083748	1.2340907800398424	16.0	24.8	0	0	1	1
(20231570, 'chunsheng zhou')	38.5	0.7880341880341881	10.0	0.6	1	0	0	1
(37461747, 'guoping wang')	12.4	1.6068126459878112	5.4	1.8	1	0	0	1
(183067930, 'fu yuxi')	6.675	0.5369092709911714	10.0	5.2	1	0	0	1
(87445476, 'changqing chen')	3.5333333333400008	0.1589161939293902	3.2	1.0	1	0	0	1
(99065089, 'duan yuanyuan')	12.273333333326	0.9650588547691809	11.2	6.4	1	0	0	1
(99065089, 'chunxiao xu')	4.1	0.9121610109346548	8.4	4.4	1	0	0	1
(20231570, 'li tiejun')	20.133333333334	3.6231929861765098	13.4	3.8	1	0	0	1
(19820366, 'wang yonghong')	38.682222222220005	8.019662396673883	25.8	4.6	1	0	0	1
(19820366, 'feng qi')	54.0653250774	3.398828841849176	28.2	14.8	0	1	0	1
(162868743, 'liu wenguang')	11.620833333334	4.404807799206145	32.8	10.2	0	1	0	1
(19820366, 'min yang')	27.55782531192	1.7791224219879236	31.0	28.8	1	0	0	1
(19820366, 'xiaoyuan yan')	3.725	0.0	30.8	6.8	0	0	1	1
(19820366, 'shougang zhang')	1.2342857142859998	1.3294067051595968	4.0	11.2	1	0	0	1
(19820366, 'linxiu zhang')	33.83333333334	0.5563007652778064	16.0	2.8	1	0	0	1
(19820366, 'qi zhou')	17.247443609016	2.988953731136436	17.6	20.0	0	1	0	1
(47720641, 'xiaolin xie')	18.08	2.0482435923395634	22.8	12.0	1	0	0	1
(76130692, 'lixin zhang')	2.6047619047620003	0.7674087759672075	15.8	5.6	0	1	0	1
(19820366, 'liu shuangjiang')	15.363296703308	2.4276181621388337	31.2	12.2	0	1	0	1
(76130692, 'fang qun')	18.74285714286	3.609849147225209	20.0	7.2	1	0	0	1
(177933477, 'qian qijun')	2.9111111111119996	1.921561685067195	12.8	8.4	1	0	0	1
(19820366, 'niu zhichuan')	3.532617573994	0.8932507954861211	13.2	14.4	0	1	0	1
(59028903, 'liu sumei')	15.959765234762001	2.2448605634528103	24.2	8.2	0	1	0	1
(19820366, 'hongbo li')	10.996327985734	2.7034766497467784	18.2	10.4	0	1	0	1
(76130692, 'tianhua zhou')	25.15	5.979449902251284	16.2	3.0	1	0	0	1
(19820366, 'baonian wan')	3.739615384616	0.4658128115579016	11.0	7.6	0	0	1	1
(19820366, 'dai ning')	6.103636363635999	1.3850013336428186	8.2	8.6	1	0	0	1
(19820366, 'jinbao song')	1.08	0.3665501615070207	6.0	6.4	1	0	0	1
(99065089, 'chongqing kang')	5.105807763659	3.0518222635545555	19.0	27.4	0	1	0	1
(183067930, 'nan shen')	25.973809523806004	5.184136878799588	23.4	11.2	1	0	0	1
(881766915, 'chen guihai')	10.379198635976	0.7200311001387177	23.0	19.4	0	1	0	1
(76214153, 'an lizhe')	22.91782051282	1.958265180519844	28.0	13.0	1	0	0	1
(19820366, 'yang zhenzhong')	38.65	2.1146698318818	14.8	9.0	1	0	0	1
(881766915, 'kong lingdong')	21.43333333334	2.3943512826792426	28.0	7.2	0	1	0	1
(19820366, 'shouke yan')	27.008333333320003	2.1435569848200817	14.6	5.4	1	0	0	1
(19820366, 'wenqing zhang')	37.46083333332599	3.0072875524270994	19.8	14.6	1	0	0	1
(19820366, 'guo huishan')	51.4238095238	4.066863137235561	10.6	3.6	1	0	0	1
(19820366, 'hu lihong')	8.562941176464	1.6813596898592242	24.0	18.2	0	1	0	1
(19820366, 'he jizheng')	24.48555555556	2.7943824644480717	36.0	14.2	0	1	0	1
(19820366, 'huiru tang')	36.65528074866	3.575883517898476	33.2	12.4	0	1	0	1
(99065089, 'chu fulei')	17.120851370832	0.8889229075448206	19.4	16.0	0	1	0	1
(881766915, 'wan xiangang')	1.6766666666660002	0.0	21.0	10.8	0	1	0	1
(27357992, 'kang zhan')	7.165714285714	0.0	24.0	4.0	0	1	0	1
(183067930, 'guo minyi')	10.047519509476	0.8321076981003535	17.6	25.8	0	1	0	1
(76569877, 'chunxiang xu')	23.094444444439997	1.508092508014468	13.2	6.2	1	0	0	1
(19820366, 'li yutong')	5.078039215687999	1.4405364968974226	15.0	11.6	0	1	0	1
(65081225, 'wang yanxin')	23.272987013	0.9656299817039632	18.4	15.2	1	0	0	1
(21193070, 'feng teng')	8.826060606046	2.9794731434464143	21.6	15.6	0	0	1	1
(19820366, 'liu wuming')	12.826865079364	1.0694752334573745	17.8	12.8	1	0	0	1
(4610292, 'yichun zhou')	7.42086580087	0.9110094987052048	10.2	10.6	1	0	0	1
(19820366, 'xiaoguang yang')	5.211111111111999	0.7114306826658524	6.0	5.8	1	0	0	1
(25254941, 'xiangdong zhang')	5.5977777777799975	1.6750391942537892	17.8	7.4	0	1	0	1
(158842170, 'yongxing zhang')	1.3533333333334	0.5148547968863352	4.4	6.8	1	0	0	1
(24943067, 'dalin sun')	30.167121212119998	3.887659974983993	23.0	9.6	1	0	0	1
(36399199, 'che wenquan')	4.1215035382762	1.3506650736763697	20.8	41.8	0	0	1	1
(19820366, 'feng xinbin')	35.01559897828	2.9433234921319733	45.0	26.0	0	0	1	1
(19820366, 'chen xinwen')	14.11444444444	2.169788292407226	16.0	5.2	1	0	0	1
(19820366, 'dujin wang')	12.423401136879999	3.1103643603902205	29.4	19.8	0	0	1	1
(126520041, 'qinghua shi')	28.76142857142	3.1827436984605386	12.8	6.4	1	0	0	1
(19820366, 'rong zeng')	49.36238095238	3.8162721418788665	30.2	12.0	1	0	0	1
(881766915, 'liu zhen')	2.304410256412	0.0	30.0	23.4	0	0	1	1
(19820366, 'du jiulin')	15.614285714282	6.206190218536503	16.8	5.2	1	0	0	1
(37461747, 'mengxiang sun')	30.71	2.2645902144428507	7.6	3.4	1	0	0	1
(19820366, 'li xinxin')	10.931115712	2.002027244455049	22.4	22.4	0	1	0	1
(191208505, 'dongliang peng')	16.748809523800002	1.7407209936277863	17.4	14.2	1	0	0	1
(189210763, 'hongbin zhang')	13.769789915955998	2.1978618821624294	21.8	17.4	0	1	0	1
(19820366, 'cunde xiao')	1.1583333333333998	0.0	17.0	4.4	0	1	0	1
(20231570, 'hongyan liu')	3.4447660098520005	2.8972944192422565	20.0	12.8	0	1	0	1
(19820366, 'hou shugui')	19.432142857146	2.509454944141872	18.2	5.0	1	0	0	1
(19820366, 'shangui zhou')	0.2	0.0	3.0	0.6	1	0	0	1
(19820366, 'chang kai')	14.678968253963998	1.8204445085220964	16.4	8.6	1	0	0	1
(19820366, 'meng qingbo')	45.289122807	2.7433539640346973	29.6	13.0	0	1	0	1
(37796252, 'baocai yin')	4.825112781954	0.7566319375490667	12.4	16.8	0	1	0	1
(19820366, 'liye xiao')	6.933506493505999	0.9123004107019376	9.2	9.6	1	0	0	1
(19820366, 'liu qingquan')	3.08	0.502305249547494	7.2	2.8	1	0	0	1
(19820366, 'lu riyu')	22.66666666666	2.2064360864209505	14.4	3.2	1	0	0	1
(19820366, 'yonggui zhou')	0.0	0.0	6.0	0.2	1	0	0	1
(19820366, 'lijun wu')	11.425946275962	0.9929541833300596	9.4	6.8	1	0	0	1
(19820366, 'shen shuzhong')	17.54809523808	0.8065072688014421	14.8	7.8	1	0	0	1
(19820366, 'laigeng li')	14.716666666660002	2.46068570598241	10.0	1.6	1	0	0	1
(19820366, 'cai xinxia')	3.781746031746	2.5328515562574503	10.8	11.4	0	1	0	1
(27357992, 'jianfeng zhang')	0.0	0.0	7.0	0.0	1	0	0	1
(19820366, 'dai yucheng')	46.039682539750004	1.035882941032779	7.2	5.6	1	0	0	1
(19820366, 'fenghua li')	15.191414141420006	3.1418972315488736	28.6	15.8	1	0	0	1
(19820366, 'he shunping')	23.19194139194	1.233579340069633	10.8	7.0	1	0	0	1
(126520041, 'dou xiankang')	8.119090909083999	2.831711351720231	13.2	12.0	1	0	0	1
(19820366, 'wang xiaoquan')	26.63333333334	1.5928392367032118	14.0	2.4	1	0	0	1
(19820366, 'huayun xiao')	1.026666666666	0.0	12.0	4.2	0	1	0	1
(19820366, 'fu liyun')	2.365476190476	0.7571362084678059	10.0	6.0	1	0	0	1
(99065089, 'xiaobo zhao')	7.92	0.4386405452600792	8.8	1.6	1	0	0	1
(126520041, 'jian zheng')	6.296190476188	1.403727468359051	8.4	5.6	1	0	0	1
(19820366, 'luo yuejia')	15.6	2.1423128157333733	6.8	2.4	1	0	0	1
(99065089, 'dinghui yang')	9.770238095232001	1.057132174937004	13.2	5.6	1	0	0	1
(19820366, 'bing zhu')	2.0	0.0	7.0	1.0	1	0	0	1
(17145004, 'hejun li')	25.029999999999994	1.1386757786944377	20.0	18.2	1	0	0	1
(65081225, 'jinnan tong')	23.27878787880001	1.3146394222630673	15.2	5.8	1	0	0	1
(19820366, 'weishen yang')	2.6	0.6724896019013665	3.2	0.4	1	0	0	1
(3923682, 'feng yan')	5.079532163752001	0.0	34.6	8.4	0	0	1	1
(19820366, 'bingsong zou')	0.0	0.0	0.0	0.0	1	0	0	1
(881766915, 'sheng zhong')	1.8466666666659999	0.0	9.8	7.8	1	0	0	1
