12728	185592680	chemistry
16602	71924100	medicine
21587	185592680	chemistry
11602	127313418	geology
101797	86803240	biology
101865	185592680	chemistry
13216	121332964	physics
100121	41008148	computer science
18294	121332964	physics
17992	185592680	chemistry
15193	121332964	physics
100704	121332964	physics
11331	121332964	physics
22662	86803240	biology
100542	71924100	medicine
100895	185592680	chemistry
10903	127313418	geology
13801	185592680	chemistry
100154	185592680	chemistry
18341	127313418	geology
13157	185592680	chemistry
101982	185592680	chemistry
101221	185592680	chemistry
10866	86803240	biology
1350	121332964	physics
100370	185592680	chemistry
17724	185592680	chemistry
101907	185592680	chemistry
100258	121332964	physics
10430	185592680	chemistry
19853	185592680	chemistry
17111	185592680	chemistry
11015	185592680	chemistry
18841	185592680	chemistry
19779	185592680	chemistry
1146	86803240	biology
1523	121332964	physics
1142	162324750	economics
100510	185592680	chemistry
14217	71924100	medicine
12286	185592680	chemistry
18414	127313418	geology
100205	127313418	geology
15605	185592680	chemistry
15600	127313418	geology
15339	121332964	physics
101842	121332964	physics
1922	185592680	chemistry
100475	144133560	business
100509	185592680	chemistry
101230	185592680	chemistry
10965	185592680	chemistry
10133	127313418	geology
15531	185592680	chemistry
16839	121332964	physics
1598	41008148	computer science
14533	185592680	chemistry
17819	86803240	biology
10496	121332964	physics
10581	121332964	physics
12153	185592680	chemistry
16637	185592680	chemistry
16227	185592680	chemistry
14644	121332964	physics
101015	185592680	chemistry
10996	121332964	physics
15510	121332964	physics
15159	71924100	medicine
100711	33923547	mathematics
17650	121332964	physics
2266	185592680	chemistry
15223	121332964	physics
11160	127413603	engineering
21394	71924100	medicine
15229	185592680	chemistry
18076	185592680	chemistry
12423	127313418	geology
10354	185592680	chemistry
17735	185592680	chemistry
18521	127313418	geology
100409	121332964	physics
17753	71924100	medicine
101633	121332964	physics
17359	185592680	chemistry
10879	121332964	physics
16206	185592680	chemistry
15820	71924100	medicine
10921	185592680	chemistry
10947	185592680	chemistry
16716	185592680	chemistry
15915	185592680	chemistry
101101	86803240	biology
15993	127313418	geology
101154	185592680	chemistry
18051	185592680	chemistry
17262	185592680	chemistry
13630	121332964	physics
12410	71924100	medicine
10344	121332964	physics
15632	185592680	chemistry
101194	86803240	biology
16888	185592680	chemistry
18492	144133560	business
12859	185592680	chemistry
100853	127313418	geology
1213	127313418	geology
12495	127313418	geology
14142	71924100	medicine
100003	121332964	physics
100882	185592680	chemistry
100030	41008148	computer science
2063	185592680	chemistry
12146	121332964	physics
1696	185592680	chemistry
14638	185592680	chemistry
100132	121332964	physics
13071	121332964	physics
19202	185592680	chemistry
18350	185592680	chemistry
15992	185592680	chemistry
12771	121332964	physics
19512	185592680	chemistry
10064	71924100	medicine
1683	185592680	chemistry
101727	121332964	physics
18311	185592680	chemistry
10145	86803240	biology
19612	185592680	chemistry
12647	121332964	physics
17931	121332964	physics
15107	185592680	chemistry
100642	185592680	chemistry
15118	127313418	geology
14744	185592680	chemistry
11498	185592680	chemistry
11499	121332964	physics
16634	127313418	geology
13803	185592680	chemistry
100971	185592680	chemistry
19120	185592680	chemistry
10915	185592680	chemistry
100114	33923547	mathematics
1738	121332964	physics
19599	185592680	chemistry
101785	71924100	medicine
14285	185592680	chemistry
100171	185592680	chemistry
100640	185592680	chemistry
10589	41008148	computer science
101429	185592680	chemistry
17154	121332964	physics
100218	185592680	chemistry
17160	71924100	medicine
11482	185592680	chemistry
13923	185592680	chemistry
101459	121332964	physics
13535	185592680	chemistry
12374	71924100	medicine
24715	185592680	chemistry
19745	86803240	biology
101952	71924100	medicine
101561	41008148	computer science
101190	71924100	medicine
100796	121332964	physics
1581	127313418	geology
10791	185592680	chemistry
1981	185592680	chemistry
100833	121332964	physics
16954	185592680	chemistry
10400	185592680	chemistry
1226	185592680	chemistry
25306	185592680	chemistry
15348	41008148	computer science
19888	185592680	chemistry
101672	127313418	geology
12175	127313418	geology
18694	127313418	geology
101018	185592680	chemistry
13522	185592680	chemistry
16396	185592680	chemistry
25915	185592680	chemistry
100308	33923547	mathematics
18870	41008148	computer science
11120	71924100	medicine
18888	185592680	chemistry
2288	121332964	physics
13642	33923547	mathematics
101212	41008148	computer science
101603	185592680	chemistry
16932	185592680	chemistry
10393	127313418	geology
22299	71924100	medicine
14148	121332964	physics
13344	121332964	physics
101647	127313418	geology
10830	86803240	biology
19081	185592680	chemistry
101710	41008148	computer science
13053	127313418	geology
22448	144133560	business
26630	71924100	medicine
15751	33923547	mathematics
15755	71924100	medicine
19533	185592680	chemistry
1301	41008148	computer science
11367	127313418	geology
1322	86803240	biology
1339	185592680	chemistry
101376	33923547	mathematics
13184	71924100	medicine
100767	121332964	physics
15640	185592680	chemistry
101567	185592680	chemistry
10021	185592680	chemistry
10022	121332964	physics
17399	33923547	mathematics
100487	71924100	medicine
10861	86803240	biology
10874	121332964	physics
11318	185592680	chemistry
12594	185592680	chemistry
101755	185592680	chemistry
11842	185592680	chemistry
21678	185592680	chemistry
13527	185592680	chemistry
17177	127313418	geology
13165	185592680	chemistry
101890	185592680	chemistry
13599	185592680	chemistry
100355	41008148	computer science
100360	185592680	chemistry
12466	121332964	physics
100425	71924100	medicine
12906	185592680	chemistry
100021	185592680	chemistry
100022	185592680	chemistry
15764	86803240	biology
26530	71924100	medicine
13393	41008148	computer science
17499	185592680	chemistry
22486	185592680	chemistry
101046	121332964	physics
13512	185592680	chemistry
15519	185592680	chemistry
14339	71924100	medicine
15174	185592680	chemistry
21726	185592680	chemistry
15989	127313418	geology
16410	127313418	geology
101165	185592680	chemistry
11583	185592680	chemistry
