affID	sortedName	awardYear	fieldID	fieldName	bf_jif	bf_citation	bf_hindex	bf_papercnt	L	M	H	af_jif	af_citation	af_hindex	af_papercnt
111381250	hailin zhang	2003	185592680	chemistry	1.95364041605	0.4	1.2	0.6	0	1	0	1.63016183052	9.42	3.6	4.4
111599522	chen jian	2006	185592680	chemistry	0.252	0.7	1.0	0.6	1	0	0	1.96065411298	2.44109794869	6.2	37.2
113940042	lu xionggang	2012	185592680	chemistry	1.91732034521	2.50636363636	4.4	11.4	0	0	1	2.99168612062	3.7683920435	17.4	26.8
115592961	shouqi yuan	2008	121332964	physics	0.161922860228	0.0	0.0	3.0	0	1	0	0.426285654808	1.24444444444	1.4	14.0
116953780	guoqiang li	2002	121332964	physics	0.195455546723	0.5	1.4	1.4	1	0	0	0.731394840032	2.22063492063	4.0	7.8
116953780	huang maosong	2008	127313418	geology	0.234446397188	0.666666666667	1.0	3.2	1	0	0	0.987416285228	2.32189440994	4.4	17.0
116953780	jian xu	2006	127413603	engineering	0.897271595418	2.09571428571	2.2	4.6	0	1	0	1.34611093393	3.42842342342	8.6	11.0
116953780	jiang mingjing	2010	127313418	geology	0.79989438121	1.31666666667	1.6	2.2	1	0	0	1.0706074816	3.40666666667	8.6	16.8
116953780	xiaoning zhang	2011	127413603	engineering	0.882498930252	3.95285714286	4.2	1.2	1	0	0	1.96196622109	4.1368627451	8.0	4.2
116953780	zheng zhong	2001	121332964	physics	0.1536	0.4	0.2	0.2	1	0	0	0.464427223425	2.78523809524	2.4	4.8
119045251	xipeng xu	2008	185592680	chemistry	0.580826323224	1.20454545455	3.0	2.0	1	0	0	0.925115602277	2.2676405947	7.8	2.2
119454577	futian qu	2004	162324750	economics	0.0	1.3	1.4	1.0	1	0	0	1.10961591282	2.06	3.0	1.8
119454577	jianwen zou	2012	86803240	biology	3.32584450496	4.93227106227	7.2	4.2	0	1	0	3.3163091169	8.72709568733	19.6	6.4
119454577	li xianchun	2003	86803240	biology	0.890842273362	1.28	1.2	0.8	1	0	0	0.0	4.01666666667	3.0	0.2
119454577	wenhua zhang	2006	185592680	chemistry	2.29015677131	3.01666666667	2.0	1.2	0	1	0	3.76291820737	10.1924183007	9.6	1.6
12411659	gao xiumei	2011	185592680	chemistry	0.992457132721	3.70238095238	2.6	8.6	0	1	0	2.31851507266	3.91875032242	15.6	24.4
125839683	baohua ji	2010	185592680	chemistry	0.080701754386	0.2	0.0	0.6	1	0	0	1.7381698304	3.51113636364	5.2	6.2
125839683	gengkai hu	2003	121332964	physics	0.427633540373	3.05	2.0	0.8	1	0	0	1.25499139016	2.65998857486	6.0	6.6
126520041	chen chusheng	2002	185592680	chemistry	0.935741387167	1.6	2.4	3.0	1	0	0	1.71285555948	2.1530952381	7.4	5.6
126520041	chen falai	2002	33923547	mathematics	0.370052965428	2.37333333333	2.2	3.2	1	0	0	0.578789145592	2.55284406669	5.8	5.6
126520041	chen gao	2001	185592680	chemistry	1.69178542098	3.9	2.6	1.2	1	0	0	0.955568692082	7.255	3.8	5.6
126520041	cui hua	2006	185592680	chemistry	1.3718511822	2.10696078431	5.2	6.8	0	1	0	2.4802930733	3.94516834727	16.2	8.0
126520041	ding zejun	2000	185592680	chemistry	0.615626113823	1.13333333333	1.8	0.8	1	0	0	0.918826934961	2.025	3.4	4.6
126520041	dou xiankang	2010	127313418	geology	1.54880364377	1.43333333333	1.2	1.6	0	1	0	2.83171135172	2.4791843951	6.6	12.0
126520041	fei qi	2009	185592680	chemistry	1.01062238727	2.3375	4.6	9.6	0	1	0	3.24970860806	4.14269230769	16.4	17.2
126520041	fei sun	2011	71924100	medicine	3.97718469218	6.41333333333	4.8	1.8	0	1	0	4.16423379234	4.93053681493	11.8	7.6
126520041	gong weimin	2002	185592680	chemistry	1.01864690376	1.33333333333	1.2	1.0	1	0	0	1.72223281782	2.35555555556	3.6	1.0
126520041	gong xinglong	2011	121332964	physics	1.01328435193	2.66424242424	5.6	13.4	0	0	1	2.52230726898	4.6341953144	22.0	19.4
126520041	guanwu wang	2001	185592680	chemistry	2.45130161014	1.8	2.2	2.0	0	1	0	0.909401705237	2.45221445221	5.2	8.8
126520041	haiyan liu	2000	185592680	chemistry	1.88438498581	1.90666666667	2.2	1.8	0	1	0	1.43361927905	2.64310606061	5.6	3.8
126520041	han liang	2010	121332964	physics	1.57899547955	1.48444444444	3.6	5.4	0	1	0	1.67453202766	1.65214285714	6.0	1.8
126520041	haojun liang	2005	185592680	chemistry	0.0912195121951	0.0	0.0	0.2	1	0	0	0.858052028097	1.2	0.6	0.4
126520041	he linghui	2006	121332964	physics	0.54192528526	1.81	2.4	1.4	1	0	0	0.461495403994	2.76666666667	4.8	0.8
126520041	he lixin	2010	121332964	physics	1.67543335472	5.85128205128	2.6	5.4	0	1	0	1.97086835399	2.47454231928	7.4	7.2
126520041	hou zhonghuai	2011	121332964	physics	0.969226811265	2.64138344227	12.2	6.4	1	0	0	2.16897534437	2.04250889193	19.0	7.8
126520041	hu shuiming	2012	121332964	physics	1.31081612267	1.46555429864	10.6	5.4	1	0	0	2.14692006709	2.6818788143	15.2	7.4
126520041	huang wen	2012	33923547	mathematics	1.11104623257	2.58900010617	8.0	4.2	1	0	0	2.31100316768	3.48951491978	17.6	6.6
126520041	huang yunfeng	2012	121332964	physics	1.39178128162	1.73599798894	5.6	8.8	0	1	0	1.75741193123	5.88618262946	11.6	6.8
126520041	jian zheng	2006	121332964	physics	0.864318165209	1.17777777778	1.8	3.8	0	1	0	1.40372746836	1.70110722611	4.8	5.6
