dzFxID	dzAwardYear	dzCoAuthorsNumBF	dzCoAuthorsNumAF
15600	2012	73	263
15605	2006	38	8
15626	2006	64	88
15632	2012	23	69
15635	2010	64	107
15640	2002	26	22
15655	2012	24	42
15690	2005	0	0
15751	2007	10	140
15752	2011	32	201
15755	2012	83	176
15756	2011	69	103
15764	2011	30	75
15765	2009	36	59
15791	2008	140	207
1581	2003	77	178
15811	2004	16	26
15814	2005	16	4
15820	2009	27	167
15825	2006	3	23
15827	2001	0	0
15837	2007	24	44
15843	2005	26	23
15861	2005	6	0
15891	2006	12	3
15896	2003	7	8
15915	2006	57	80
15926	2012	6	1
15937	2005	4	19
1598	1998	18	32
15986	2012	160	249
15989	2006	17	146
15992	2008	10	92
15993	1999	38	117
16002	2002	74	138
16047	2009	105	234
1605	2012	0	7
16064	2011	0	924
16143	2004	0	0
16194	2009	121	155
16196	2005	30	88
16206	2008	12	182
16227	2006	22	17
1623	2004	0	7
16296	2012	132	308
16327	2011	62	32
16330	2002	35	12
16353	2007	53	78
16366	2010	106	51
1637	2004	9	0
16393	2010	24	40
16396	2005	21	72
16401	2011	61	51
16410	2005	29	82
16456	2006	8	11
16496	2006	10	95
16508	2007	56	81
16522	2007	24	35
16528	2003	40	50
16540	2011	60	136
16602	2011	61	78
16603	2012	0	6
16634	2007	40	34
16637	2004	9	22
16639	2012	45	107
16659	2008	0	0
16663	2001	15	0
16694	2007	10	52
16714	2010	59	58
16716	2006	23	96
16735	2007	2	53
1678	2006	0	77
16787	2002	1	24
16794	2006	11	173
1680	2008	409	557
1683	2004	10	58
16838	2010	17	5
16839	2007	0	5
16888	2006	143	172
16932	2007	0	33
16945	2010	8	3
16954	2003	0	25
1696	2001	3	10
17011	2004	183	325
17044	2004	28	149
17056	2004	126	75
17109	2010	12	19
17111	2007	70	214
17121	2012	81	106
17123	2006	0	10
17124	2003	5	24
17144	2012	190	180
17154	2010	20	30
17160	2004	28	188
17170	2012	194	522
17177	2007	34	29
17188	2003	13	6
17262	2012	27	93
17338	2003	26	28
17354	2007	100	92
17359	2006	5	2
17361	2010	190	290
1737	2003	54	114
1738	2002	189	992
17399	2003	2	1
17444	2005	7	3
17461	2004	11	8
17463	2004	0	0
17471	2005	44	6
17499	2010	4	12
17529	2012	7	21
17545	2006	0	913
17552	2009	0	12
17589	2011	53	10
17597	2002	44	91
176	2011	8	9
17604	2004	8	38
17650	2010	24	37
1766	2002	8	48
17682	2002	0	0
17710	2011	34	1243
17720	2012	183	280
17724	2011	81	21
17735	2012	5	0
17737	2001	4	15
17753	2004	27	186
17771	2011	58	57
17819	2005	15	11
17847	2007	12	54
17886	2011	90	0
17896	2007	0	4
17918	2006	0	388
17931	2009	9	97
17989	2003	31	87
17992	2008	225	199
18032	2010	23	0
18033	2003	6	3
18051	2005	0	12
18076	2004	27	65
18086	2008	11	54
18127	2007	23	243
18149	2011	82	181
1815	2011	128	224
18185	2006	71	63
18202	2008	5	11
18227	2003	0	22
18232	2012	47	145
18294	2007	0	11134
18299	2008	86	227
18311	2001	19	47
18341	2002	64	311
18350	2012	22	5
18359	2010	60	69
18385	2004	19	16
18394	2011	1763	1488
18414	2012	11	13
1843	2001	19	36
18445	2002	26	34
18461	2011	0	51
18492	2010	26	25
18521	2000	15	28
18529	2007	20	18
1856	2003	24	126
1857	2003	7	12
18575	2009	9	6
18615	2007	31	56
18694	2008	9	0
18718	1998	7	43
18835	2009	26	41
1884	2011	0	0
18841	2003	81	49
18853	2009	0	6
18870	2000	12	29
18882	2012	38	20
18888	2003	0	21
18894	2009	20	25
18944	2007	11	6
18965	2009	9	85
19001	2012	95	45
19043	2008	67	3
19047	2008	0	11
19063	2008	37	44
19075	2007	46	114
19081	2005	70	173
19087	2001	10	0
19120	2004	2	62
19147	2002	0	0
19152	2007	8	8
19197	2010	46	165
19202	2000	10	49
19209	2003	1	6
19213	2004	27	119
1922	2000	0	4
19320	2012	0	202
19333	2010	0	27
19357	2004	20	64
19378	2010	86	41
19442	2005	3	72
19448	2003	40	34
19468	2005	0	0
19495	2007	0	1528
19512	2005	0	0
19533	2007	17	43
19599	2002	0	0
19609	2008	37	44
19612	2012	0	0
1963	2008	13	4
1972	2001	31	72
19724	2005	3	34
19745	2002	0	0
19749	2012	230	318
19760	2008	4833	1271
19779	2005	30	38
19804	2005	31	165
1981	2007	14	41
19853	2004	20	86
19888	2005	3	6
19893	2011	4	0
19897	2007	25	15
19956	2002	26	50
20007	2009	98	138
20016	2009	55	125
20050	2005	5	42
20145	2012	58	79
20163	2007	119	26
20184	2011	52	16
20546	1998	4	9
2057	2000	9	27
20586	2005	86	119
2063	2006	10	37
20633	2012	18	32
20697	2007	61	326
20858	2007	68	104
21038	2004	23	48
21052	2001	53	161
21150	2002	15	0
21231	2010	34	60
21394	2007	0	33
21438	2007	0	0
21587	2011	3	3
21678	2008	69	106
21726	2002	0	6
21783	2006	23	20
21825	2005	11	68
21835	2011	89	9
21979	2002	56	55
22195	2007	37	81
22223	2002	0	0
22230	2002	20	18
22234	2009	62	102
22299	2006	0	58
2236	2009	177	306
2239	2003	15	53
22448	2005	11	20
22486	2007	224	821
22503	2009	28	28
22653	2008	22	74
2266	2012	58	13
22662	2004	51	180
22809	2006	20	524
2288	2005	24	43
23128	2012	54	12
23262	2009	115	164
23560	2001	0	6
24242	2010	76	128
24388	2004	58	41
24486	2003	27	179
24715	2003	7	11
25085	2009	3	3
25116	2012	300	266
25124	2011	57	85
25306	2004	0	33
25882	2012	284	787
25915	2009	11	28
2622	2000	7	0
26247	2010	18	9
26253	2000	15	0
26530	2007	104	251
26630	2004	9	42
26772	2009	478	791
26842	2004	76	72
27227	2004	0	26
