dzFxID	dzAssumeAwardYear	dzCoFxID	CIIBF	CIIAF
100003	2008	4227	0.045454545454545456	0.047619047619047616
100007	2009	16102	0.00563063063063063	0.00020964360587002095
100007	2009	151884	0.003968253968253968	0.0004830917874396135
100007	2009	110448	0.013333333333333334	0.002380952380952381
100010	2006	4269	0.004032258064516129	0.004166666666666667
100021	2009	26600	0.0002986857825567503	0.0003695491500369549
100021	2009	26603	0.001402524544179523	0.005206906001644286
100021	2009	18030	0.0008878366380585972	0.00013702384214853386
100021	2009	28499	0.012903225806451613	0.000975609756097561
100021	2009	124130	0.002932551319648094	0.001876172607879925
100021	2009	106111	0.004032258064516129	0.0020325203252032522
100021	2009	18031	0.0025165865934568747	0.003048780487804878
100021	2009	38381	0	0.012195121951219513
100021	2009	26604	0.03225806451612903	0.012195121951219513
100021	2009	34510	0.003121748178980229	0.00032092426187419767
100022	2008	14925	0.01818181818181818	0.006348020911127707
100024	2006	77487	0.05042016806722689	0.006191950464396285
100024	2006	151602	0.14285714285714285	0.05263157894736842
100024	2006	124075	0.023809523809523808	0.006578947368421052
10003	2000	156424	0.25	0.025
10003	2000	30686	0.045454545454545456	0.025
10003	2000	156421	0.00390625	0.0013698630136986301
10003	2000	156425	0.009615384615384616	0.0058823529411764705
10003	2000	63763	0.01	0.004166666666666667
10003	2000	68373	0.05555555555555555	0.0125
10003	2000	156422	0.05	0.0035714285714285713
100030	2006	77931	0.0625	0.013333333333333334
100030	2006	67012	0.008928571428571428	0.013333333333333334
100030	2006	41215	0.026041666666666668	0.002898550724637681
100030	2006	24799	0.0125	0.002380952380952381
100047	2001	75642	0.25	0.0625
100047	2001	75641	0.25	0.0625
100052	2005	92282	0.16666666666666666	0.05555555555555555
100052	2005	92281	0.13333333333333333	0.037037037037037035
100052	2005	96021	0.08333333333333333	0.3333333333333333
100062	2008	31132	0.041666666666666664	0.03225806451612903
100062	2008	31131	0.019230769230769232	0.020512820512820513
100062	2008	91997	0.010869565217391304	0.022222222222222223
100074	2009	36219	0.007326007326007326	0.0030303030303030303
100074	2009	14988	0.009259259259259259	0.002325581395348837
100074	2009	47951	0.027777777777777776	0.004347826086956522
100074	2009	75619	0.010752688172043012	0.00625
100074	2009	75620	0.016666666666666666	0.03333333333333333
100074	2009	75618	0.041666666666666664	0.002857142857142857
100074	2009	15125	0.16666666666666666	0.1
100074	2009	36218	0.020833333333333332	0.011111111111111112
100074	2009	76289	0.1111111111111111	0.002325581395348837
100074	2009	69472	0.020833333333333332	0.0038461538461538464
100084	2011	130264	0.03007518796992481	0.2
100084	2011	130263	0.022556390977443608	0.2
100091	2010	68032	0.3333333333333333	1.0
100091	2010	45232	0.3333333333333333	1.0
100113	2010	61131	0.016666666666666666	0.005128205128205128
100113	2010	47482	0.1	0.06153846153846154
100113	2010	47481	0.1	0.07692307692307693
100113	2010	21169	0.1	0.07692307692307693
100114	2009	153801	0.014285714285714285	0.00392156862745098
100114	2009	21884	0.02040816326530612	0.012477718360071301
100114	2009	153800	0.02040816326530612	0.00784313725490196
100117	2002	71243	0.043478260869565216	0.014903129657228018
100117	2002	22754	0.03260869565217391	0.01092896174863388
100117	2002	71244	0.0391304347826087	0.01639344262295082
100117	2002	111468	0.005016722408026756	0.0009107468123861566
100117	2002	46327	0.043478260869565216	0.01639344262295082
100117	2002	22758	0.007246376811594203	0.002927400468384075
100117	2002	22756	0.021739130434782608	0.0020491803278688526
100117	2002	36461	0.043478260869565216	0.01639344262295082
100121	2005	35212	0.010466988727858293	0.0026455026455026454
100121	2005	38181	0.018518518518518517	0.008658008658008658
100121	2005	16403	0.018518518518518517	0.011904761904761904
100121	2005	35874	0.004357298474945534	0.023809523809523808
100121	2005	35875	0.005611672278338945	0.015873015873015872
100121	2005	135938	0.012345679012345678	0.023809523809523808
100121	2005	87533	0.009259259259259259	0.01020408163265306
100130	2007	62713	0.016666666666666666	0.044444444444444446
