affID	sortedName	fxID	CIIBF	CIIAF
111599522	chen jian	16131	0.3333333333333333	0.0050933786078098476
111599522	chen jian	775	0.3333333333333333	0.005195119004470218
113940042	lu xionggang	8256	0.012531328320802004	0.00681375730045425
113940042	lu xionggang	49863	0.0009233610341643582	0.00010974539069359087
113940042	lu xionggang	19850	0.015479876160990712	0.0024875621890547263
113940042	lu xionggang	49861	0.000385579332947754	6.846501437765302e-05
113940042	lu xionggang	15332	0.006191950464396285	0.007462686567164179
113940042	lu xionggang	34583	0.017543859649122806	0.004975124378109453
113940042	lu xionggang	13395	0.015789473684210527	0.006677140612725845
113940042	lu xionggang	10975	0.011695906432748537	0.006633499170812604
113940042	lu xionggang	177342	0.011695906432748537	0.0037313432835820895
113940042	lu xionggang	10207	0.003898635477582846	0.0001166044776119403
113940042	lu xionggang	33908	0.007017543859649123	0.0014925373134328358
113940042	lu xionggang	8254	0.01023391812865497	0.005970149253731343
113940042	lu xionggang	49862	0.0008771929824561404	0.0006218905472636816
113940042	lu xionggang	68036	0.0035087719298245615	0.0037313432835820895
113940042	lu xionggang	25634	0.017543859649122806	0.007462686567164179
113940042	lu xionggang	10973	0.0023391812865497076	0.0038748564867967855
113940042	lu xionggang	8252	0.010964912280701754	0.004249585406301824
113940042	lu xionggang	52988	0.011695906432748537	0.007462686567164179
113940042	lu xionggang	10210	0.002844950213371266	0.0002332089552238806
113940042	lu xionggang	49860	0.0013850415512465374	0.00019638648860958367
115592961	shouqi yuan	22474	0.06666666666666667	0.014285714285714285
115592961	shouqi yuan	25079	0.06666666666666667	0.014285714285714285
115592961	shouqi yuan	89369	0.06666666666666667	0.014285714285714285
115592961	shouqi yuan	156869	0.06666666666666667	0.009523809523809525
115592961	shouqi yuan	171074	0.06666666666666667	0.014285714285714285
115592961	shouqi yuan	156867	0.009523809523809525	0.004761904761904762
115592961	shouqi yuan	25081	0.06666666666666667	0.014285714285714285
116953780	jian xu	52905	0.028985507246376812	0.01818181818181818
116953780	jian xu	33548	0.003105590062111801	0.0025974025974025974
116953780	jian xu	60713	0.004725897920604915	0.0048484848484848485
116953780	jian xu	57995	0.0008203445447087777	0.002346041055718475
116953780	jian xu	33546	0.0036231884057971015	0.002346041055718475
116953780	jian xu	52904	0.0076726342710997444	0.009790209790209791
116953780	jian xu	60715	0.02608695652173913	0.00808080808080808
116953780	jiang mingjing	142480	0.011363636363636364	0.0017006802721088435
116953780	jiang mingjing	14302	0.022727272727272728	0.0008928571428571428
116953780	jiang mingjing	14328	0.012121212121212121	0.005952380952380952
116953780	jiang mingjing	45681	0.007575757575757576	0.002380952380952381
116953780	jiang mingjing	14329	0.016042780748663103	0.0008818342151675485
116953780	xiaoning zhang	48467	0.005208333333333333	0.001519756838905775
116953780	xiaoning zhang	48466	0.004273504273504274	0.0010946907498631637
116953780	xiaoning zhang	45800	0.16666666666666666	0.047619047619047616
116953780	zheng zhong	191523	0.14285714285714285	0.001984126984126984
119045251	xipeng xu	83303	0.03333333333333333	0.027972027972027972
119045251	xipeng xu	615	0.1	0.09090909090909091
119454577	futian qu	91335	0.13333333333333333	0.044444444444444446
119454577	futian qu	41018	0.02	0.041666666666666664
119454577	futian qu	91334	0.2	0.1111111111111111
119454577	jianwen zou	79162	0.047619047619047616	0.03125
119454577	jianwen zou	97860	0.004464285714285714	0.0003289473684210526
119454577	jianwen zou	45555	0.047619047619047616	0.00625
119454577	jianwen zou	9212	0.00816326530612245	0.0016891891891891893
