7	1	3	11	4	12	5	8	0	6	1	2
14	0	0	0	0	0	0	0	1	0	0	5
15	3	6	7	12	6	6	0	13	23	22	20
16	0	0	0	0	2	2	2	3	1	2	3
24	0	0	0	0	0	1	0	0	0	0	0
27	0	1	2	5	9	4	6	3	2	5	1
28	1	2	0	0	0	0	0	0	1	1	0
51	0	2	4	1	2	1	0	0	0	0	0
53	0	0	0	0	0	0	0	0	0	0	2
56	1	1	0	0	0	0	0	0	0	0	0
72	0	1	0	0	0	0	0	0	0	0	0
83	0	0	0	1	0	1	1	0	2	1	3
89	0	0	0	0	0	0	0	2	0	0	0
92	20	24	36	30	42	56	58	108	76	36	92
93	1	0	0	0	0	0	0	0	0	5	3
106	0	3	4	4	0	1	2	3	8	7	7
107	7	20	15	14	5	14	14	18	11	13	12
112	4	3	1	2	4	2	7	11	16	21	28
114	4	1	3	8	8	5	10	2	5	3	2
118	0	0	0	0	0	0	0	0	0	0	2
123	1	4	1	3	3	5	2	4	1	3	1
132	2	3	2	11	7	11	3	9	9	12	14
134	0	0	0	0	0	0	0	4	1	13	6
143	2	0	1	3	2	1	2	0	2	4	0
145	2	1	0	0	0	0	0	0	0	0	1
150	0	3	1	3	1	0	0	2	1	0	3
167	0	3	4	5	2	1	1	4	5	1	0
172	2	2	5	6	9	7	9	8	10	8	11
176	1	0	0	0	0	1	0	0	1	0	0
180	4	1	5	6	7	7	10	7	7	7	9
185	0	0	0	2	1	3	2	4	3	1	2
190	3	1	0	0	2	2	1	1	2	1	2
202	6	1	3	10	9	3	4	7	6	2	1
204	0	0	0	0	0	0	0	0	0	0	1
208	1	1	0	0	0	0	0	0	1	0	2
210	2	0	2	1	4	5	7	8	8	13	7
230	15	7	9	12	8	17	54	95	83	188	203
236	2	2	1	0	0	3	0	5	1	0	1
237	0	3	0	1	1	2	0	5	8	2	2
256	1	0	3	2	0	2	5	6	6	5	6
258	19	10	13	14	3	2	0	1	1	0	1
264	0	0	0	0	2	0	0	0	12	12	38
275	2	2	1	1	0	0	4	3	6	5	6
283	1	0	1	1	2	0	1	0	0	1	1
289	3	0	2	2	4	1	2	0	0	0	0
296	3	3	1	6	5	7	0	0	0	0	0
299	0	0	4	6	8	5	3	14	3	3	2
301	2	1	2	1	0	1	1	2	0	4	6
309	4	6	4	2	12	10	14	10	12	4	0
313	2	8	3	1	1	0	0	0	0	0	0
314	2	1	5	4	4	5	9	7	8	4	24
320	3	9	14	26	18	26	21	11	17	19	10
328	1	0	0	0	0	0	1	2	2	1	1
