100003	2008	2002	3	5	15	12	8	16	13	8	11	13	10
100007	2009	2003	1	15	27	40	54	69	93	196	228	299	417
100010	2006	1993	4	6	119	326	239	139	85	91	87	67	58
100017	2012	2007	0	0	3	5	22	52	57	68	101	70	185
100021	2009	1997	30	32	40	62	50	54	57	238	353	585	624
100022	2008	2002	2	1	8	14	17	27	34	33	44	90	135
100024	2006	1994	11	10	11	21	17	10	21	29	55	54	108
10003	2000	1987	59	67	39	32	41	52	44	66	88	60	57
100030	2006	1994	29	15	18	10	24	48	55	55	52	63	42
100047	2001	1992	0	0	0	0	0	0	0	0	2	3	2
100052	2005	1998	0	0	0	0	0	1	1	0	0	3	2
100062	2008	2002	0	0	2	6	12	9	13	19	11	21	26
100064	2010	2003	5	34	53	105	124	125	202	219	250	183	218
100074	2009	2003	0	0	0	0	20	26	26	40	17	22	23
100084	2011	2001	0	0	0	2	0	0	1	1	0	4	0
100091	2010	1996	2	2	4	10	7	7	9	6	8	4	9
100105	2012	2007	0	9	16	27	44	69	109	126	177	244	300
100113	2010	2003	0	3	2	19	11	12	25	22	39	23	42
100114	2009	2001	0	13	33	41	73	85	106	144	178	186	216
100117	2002	1990	1	0	2	12	6	10	18	31	42	81	93
100118	2012	2005	20	14	26	77	59	74	101	217	418	485	576
10012	2012	2007	2	14	33	37	79	104	61	77	93	135	102
100121	2005	1993	28	39	42	54	71	84	75	79	90	76	73
100124	2011	2004	8	12	27	77	92	91	138	163	128	123	176
100127	2010	1998	39	34	28	20	15	11	18	20	59	113	124
100130	2007	2001	1	6	15	33	41	65	42	92	34	52	68
100132	2012	2001	0	0	1	4	3	11	29	17	9	5	19
100138	2010	1998	0	1	6	3	4	13	5	12	23	11	24
100139	2010	2005	1	1	2	0	1	8	11	17	25	42	69
100142	2012	2007	0	0	2	20	30	101	170	345	795	897	996
100151	2004	1997	4	6	7	16	30	29	37	52	73	82	116
100152	2012	1999	2	0	2	10	23	119	215	350	470	551	655
100154	2011	2000	5	4	5	0	3	5	4	3	2	4	2
100157	2006	2001	0	0	3	3	2	11	19	33	42	36	44
100160	2011	2006	0	0	0	0	0	0	0	1	5	4	4
100166	2009	1988	1	1	5	4	2	2	5	1	3	2	1
100167	2002	1996	0	0	0	1	6	7	7	26	25	27	24
100168	2007	1995	7	8	1	4	1	3	0	1	3	1	5
100171	2012	2006	3	3	8	8	22	32	46	79	78	57	86
100172	2012	2006	2	13	14	20	27	35	33	45	54	78	57
100175	2002	1997	0	1	0	3	8	13	19	11	17	16	32
100177	2011	2006	0	0	1	0	16	20	34	77	122	288	391
10018	2012	2006	2	0	0	0	0	1	7	57	146	368	450
100185	2012	2007	0	1	13	13	20	19	16	29	22	35	31
100187	2009	1989	3	3	12	69	96	133	190	172	173	259	287
100201	2012	2007	0	0	1	2	21	31	51	76	47	48	57
100205	2011	2005	3	18	22	23	70	68	84	92	164	188	291
100209	2010	2004	0	0	1	0	0	0	0	2	0	7	8
10021	2005	1999	0	0	0	0	0	0	1	0	2	0	2
100210	2012	2007	0	0	6	4	7	1	2	16	39	27	42
100218	2008	2000	0	10	11	21	25	40	57	87	91	105	115
100219	2012	2002	20	53	108	144	149	202	255	411	499	539	565
10022	2012	2006	3	6	6	13	11	18	20	25	61	130	280
100223	2008	1985	520	679	669	723	779	850	815	806	825	848	820
100237	2012	1987	28	33	49	34	56	58	91	114	177	175	233
100242	2012	2001	322	267	282	238	215	233	214	201	194	198	219
100245	2010	2005	0	1	0	1	7	18	50	63	77	86	106
100253	2003	1988	1	1	0	1	0	2	2	0	1	0	0
100254	2012	2005	5	4	9	10	5	16	24	25	17	26	45
100258	2002	1982	129	162	146	151	149	131	113	97	102	121	111
100269	2005	1997	5	11	15	17	23	29	37	29	23	62	46
100271	2003	1995	2	2	0	1	6	3	4	3	2	4	9
100272	2012	2000	3	0	0	0	0	1	0	1	14	28	51
100276	2011	2005	7	11	18	3	20	14	11	28	30	37	50
100281	2007	1995	1	3	1	3	7	1	1	1	3	1	0
100283	2009	1998	0	0	0	4	2	0	0	2	0	0	0
10029	2012	2000	2	1	0	1	0	2	2	1	0	0	0
100291	2012	2006	0	0	0	0	1	0	0	2	0	0	0
100292	2008	1999	3	1	1	7	9	31	35	40	46	66	47
100296	2006	1996	0	0	0	0	0	0	0	0	0	0	0
100299	2012	2001	2	3	0	2	3	7	9	1	6	14	17
100306	2009	2001	11	29	62	89	102	166	149	222	246	369	456
100308	2005	1998	0	0	3	1	4	11	31	38	42	57	69
100310	2004	1994	0	0	0	0	0	0	0	1	0	1	1
100313	2009	2003	0	2	4	4	7	18	29	46	65	102	80
100316	2010	2005	0	4	9	3	3	4	13	4	8	5	11
100318	2012	2007	0	0	2	8	27	7	26	26	30	51	78
100320	2012	2007	0	1	1	1	5	15	19	34	29	22	21
100326	2011	2006	4	2	16	27	23	30	36	57	45	76	91
100354	2012	2007	0	3	21	25	30	59	44	81	98	215	258
100355	2009	2002	7	13	22	62	91	139	147	145	134	144	205
100360	2007	2002	1	3	5	4	7	4	11	25	36	59	103
100365	2012	2007	0	2	5	1	5	2	1	12	12	32	27
100367	2004	1999	0	7	4	9	26	22	9	17	21	22	14
100370	2002	1990	1	3	12	5	2	0	0	0	1	3	11
100372	2010	2000	60	79	78	94	133	171	325	543	530	626	545
100377	2008	1997	1	0	0	0	1	1	6	10	14	38	51
100391	2001	1993	0	1	0	0	1	0	1	3	4	5	8
10040	1998	1991	0	0	0	0	0	0	0	0	4	24	36
100406	2011	2000	4	3	4	1	1	2	0	0	0	1	2
100408	2012	2002	187	172	248	166	109	195	167	179	199	227	199
100409	2011	2002	12	18	31	59	43	91	57	72	81	89	99
100417	2002	1996	0	3	2	2	4	6	8	15	41	76	70
100425	2006	1988	0	0	3	1	0	0	0	1	1	4	2
100426	2008	2003	0	0	3	4	5	20	10	5	10	19	30
100427	2006	1993	2	1	3	9	20	30	38	63	67	55	75
100435	2007	2001	0	0	1	1	0	1	1	1	1	0	0
100442	2010	2004	2	8	7	9	11	18	23	21	14	32	23
100455	2012	2006	1	3	3	4	3	8	16	13	21	33	102
100467	2003	1980	10	9	14	18	22	21	35	39	39	53	40
100471	2008	2001	5	4	9	31	22	37	43	59	63	71	68
100475	2009	1993	8	9	13	17	27	38	45	43	46	37	67
10048	2011	2006	0	1	0	0	0	1	2	3	6	0	7
100482	2012	2006	0	0	2	0	1	2	4	2	5	21	46
100487	2011	2006	11	37	59	65	97	122	105	217	269	182	157
100490	2011	2004	0	1	3	1	5	2	1	2	10	9	8
100494	2012	2005	5	5	5	13	10	12	10	15	15	8	16
100499	2012	2005	6	14	40	102	163	259	373	580	764	693	650
1005	2011	2004	8	4	7	27	28	35	52	87	145	181	153
100509	2009	1990	26	59	74	84	102	132	140	206	251	259	266
100510	2010	2001	0	0	1	0	0	2	0	1	1	5	3
100511	2011	2003	8	32	44	40	32	34	44	35	42	26	29
100513	2009	1999	0	0	0	0	2	30	6	18	15	4	6
