1969	18
1970	8
1971	5
1972	6
1973	9
1974	7
1975	11
1976	9
1977	5
1978	9
1979	11
1980	25
1981	46
1982	26
1983	42
1984	38
1985	62
1986	80
1987	143
1988	175
1989	170
1990	214
1991	186
1992	227
1993	243
1994	320
1995	300
1996	445
1997	442
1998	530
1999	529
2000	689
2001	856
2002	944
2003	1076
2004	1337
2005	1495
2006	1576
2007	1544
2008	1607
