19820366	wang wen	2423863694
19820366	jian zhang	2435248972
19820366	li lin	2101266726
20231570	li yi	1811820982
20231570	wu yundong	2106520669
19820366	chen xiaoshuang	2101240970
19820366	tang yong	2169407879
177933477	jiang yuanying	2114795606
20231570	huang ruji	2117568215
19820366	pengye wang	2101519778
19820366	gui yu	2156498571
126520041	chen gao	2485801996
157773358	gu jieruo	2430783453
19820366	jiang xin	259118630
20231570	she zhensu	2130968869
24943067	baorong lu	2342412496
19820366	hongqing ling	2102037186
24943067	chen zhanghai	2104169870
126520041	jun wang	2124222436
20231570	bin liu	2463523865
183067930	chen xianfeng	2147533149
99065089	guilu long	2618341169
19820366	ruiming xu	2156431734
19820366	jingbo li	2471503937
126520041	qijin zhang	2004954964
25254941	feng shiping	2164782366
19820366	li xin	2304494935
20231570	cai shaoqing	2307619098
24943067	tang yi	2096271176
76130692	xu zhikang	2243713403
19820366	guoliang xu	2154120132
19820366	chen lidong	2150860615
151075929	huang yuesheng	2111471200
19820366	chen xiaosong	2600321636
24943067	jiang zuimin	2620217620
99065089	he hongjian	2126664890
90610280	qiu xueqing	1993688379
19820366	li zhibo	2136953855
17145004	xiaopeng zhao	2104908036
19820366	guosheng liu	2585669862
99065089	liang xidong	2490701366
19820366	guanghui rao	2171955601
19820366	xu xuejun	2439877570
170215575	jianmin yuan	2108034294
881766915	chen yang	2125009864
126520041	liwen niu	2140420991
19820366	beiying wu	2135098536
19820366	hong zhang	2110707874
20231570	xing zhang	2593542062
194450716	wensheng yang	2129840949
19820366	jinsong li	2121215760
19820366	jia li	2167911662
37461747	li zhen	2669630631
19820366	deqing zhang	2171054309
24943067	liejia qian	2096072814
20231570	minghui zhao	2096300312
19820366	jingfu liu	2119763375
19820366	xiang yu	2137005904
20231570	fang jing	2059994571
82880672	huai jinpeng	2147468748
149594827	jiao licheng	2643812006
184983240	liu yichun	2623618940
37461747	chuluo yang	1637265637
19820366	cao daomin	2096593387
205237279	xiaoqing zhu	2317205900
19820366	huang mingdong	2138730132
126520041	yongfei zheng	2115096685
20231570	chunjing wei	2149890508
19820366	hong liao	2599095413
19820366	wu xiaoguang	2529592301
47720641	xiao yi	2177245446
881766915	qingyu wu	2464372715
19820366	hong li	2223707507
19820366	congqiang liu	2105946567
19820366	jinshui wu	2101729186
19820366	li wang	2736152990
19820366	ke xu	2207345732
19820366	yao yijian	2136933829
19820366	weicai yang	2506769544
19820366	lin wei	2138250145
20231570	pengfei tu	2483316828
76130692	wu zhaohui	2096883221
19820366	hu weiming	2614311846
19820366	feiyue wang	2489575497
19820366	jing liu	2603841987
19820366	deng feng	2289626938
19820366	chun tang	2113871370
19820366	li zhaoliang	2251034904
47720641	xinliang zhang	2161348131
111381250	hailin zhang	2137165949
183067930	xu yuhong	2086581877
19820366	long mian	2113950879
881766915	sun zhiwei	2104117573
19820366	yin zhan	2293648838
19820366	cao rong	2104810978
76214153	desheng xue	2165112351
37461747	daiwen pang	2118137145
19820366	yunlin zhang	2106156992
126520041	cui hua	2425617645
9086337	dong jinxiang	2245092705
19820366	chen chuanfeng	2618792320
19820366	huang yongzhen	2303091550
20231570	hanqing zheng	2167316255
881766915	cheng jianchun	2519154089
194450716	hu ping	2016189893
126520041	haojun liang	2157655962
21945476	李和兴	2517218746
19820366	bao yang	2585796070
19820366	yuan zengqiang	2585426535
19820366	changqing zeng	1910347612
19820366	fei xu	2420797795
19820366	chen ming	2129418036
19820366	jianghua sun	2130647009
19820366	dehua wang	2114268393
76130692	liu weiping	2138812682
76130692	ping wang	2163876039
19820366	jianlin luo	2142600833
87445476	guang xi	2017396131
19820366	jianqi li	2499187671
19820366	gao hongjun	2136816253
39333907	fucheng zhang	2171646946
180726961	wang yiping	2155024381
19820366	guo lianghong	2135958607
99065089	yongfa zhu	2106917834
19820366	hong wu	2155500052
19820366	mei zhang	2121443691
19820366	liu minghua	2528072962
99065089	li shao	2129593249
158842170	fusheng pan	2146048256
87445476	li shengtao	2124225101
90610280	gang wei	2299437103
205237279	jianguo tian	2107803903
19820366	qie xiushu	2167979857
19820366	deng youquan	2120394816
37461747	chen hua	2245040899
881766915	gu shulin	2506920196
194450716	chen hong	2155752892
19820366	liu yimin	2167758628
19820366	baolong shen	2428973165
19820366	boqiang qin	2154538814
19820366	yan yihua	2169899449
19820366	fengtang yang	2157960410
19820366	wanhua zheng	2124980087
881766915	sun weiyin	1968812139
19820366	jianmin wang	2122451041
881766915	jilin zhou	2121799127
20231570	chen peng	2578399752
191208505	jiang yunbao	2309164315
9916479	han hua	1126371583
3923682	cao yongluo	2490185788
204553293	gensheng li	2174116335
19820366	xunhua zheng	2420186739
19820366	li liu	2157101960
99065089	liu yule	2577624551
115488153	chen jing	1972562975
76130692	chen hongzheng	2096130056
111599522	chen jian	2135189109
153473198	cui xiang	2101740809
19820366	gang zhao	2109376833
19820366	xianming xiao	2096224780
19820366	li shushen	2300692282
116953780	zheng zhong	2428429988
881766915	peng ruwen	2588988522
99065089	fuchun sun	2509319508
881766915	junjie zhu	2152922038
19820366	cheng li	2620912768
881766915	ji junfeng	2143517294
19820366	li yongwang	2250419888
19820366	min tan	2133738430
92403157	yue zhang	2121991166
99065089	hongying hu	2572966537
157773358	qingjiong zhang	2095926508
183067930	huang qian	2134507548
19820366	ninglian wang	2155508843
19820366	gang su	2101790054
19820366	ji yang	2124457473
19820366	duan zhenhao	680543339
19820366	qun yang	2109788877
20231570	chen dayue	2141859088
99065089	feng pan	2112004371
194450716	liu mingyuan	2156070389
205237279	pingchuan sun	2099094960
