19820366	wang wen	2423863694	2003
19820366	jian zhang	2435248972	2004
19820366	li lin	2101266726	2003
20231570	li yi	1811820982	2001
20231570	wu yundong	2106520669	2002
19820366	chen xiaoshuang	2101240970	2007
19820366	tang yong	2169407879	2002
177933477	jiang yuanying	2114795606	2008
20231570	huang ruji	2117568215	2006
19820366	pengye wang	2101519778	2000
19820366	gui yu	2156498571	2008
126520041	chen gao	2485801996	2001
157773358	gu jieruo	2430783453	2003
19820366	jiang xin	259118630	2003
20231570	she zhensu	2130968869	2002
24943067	baorong lu	2342412496	2001
19820366	hongqing ling	2102037186	2002
24943067	chen zhanghai	2104169870	2012
126520041	jun wang	2124222436	2011
20231570	bin liu	2463523865	2003
183067930	chen xianfeng	2147533149	2011
99065089	guilu long	2618341169	2003
19820366	ruiming xu	2156431734	2009
19820366	jingbo li	2471503937	2009
126520041	qijin zhang	2004954964	2000
25254941	feng shiping	2164782366	2001
19820366	li xin	2304494935	2009
20231570	cai shaoqing	2307619098	2004
24943067	tang yi	2096271176	2003
76130692	xu zhikang	2243713403	2006
19820366	guoliang xu	2154120132	2001
19820366	chen lidong	2150860615	2003
151075929	huang yuesheng	2111471200	2001
19820366	chen xiaosong	2600321636	2003
24943067	jiang zuimin	2620217620	2004
99065089	he hongjian	2126664890	2006
90610280	qiu xueqing	1993688379	2009
19820366	li zhibo	2136953855	2012
17145004	xiaopeng zhao	2104908036	2000
19820366	guosheng liu	2585669862	2012
99065089	liang xidong	2490701366	2000
19820366	guanghui rao	2171955601	2000
19820366	xu xuejun	2439877570	2012
170215575	jianmin yuan	2108034294	2000
881766915	chen yang	2125009864	2007
126520041	liwen niu	2140420991	2000
19820366	beiying wu	2135098536	1995
19820366	hong zhang	2110707874	2012
20231570	xing zhang	2593542062	2009
194450716	wensheng yang	2129840949	2008
19820366	jinsong li	2121215760	2012
19820366	jia li	2167911662	2011
37461747	li zhen	2669630631	2013
19820366	deqing zhang	2171054309	2002
24943067	liejia qian	2096072814	2007
20231570	minghui zhao	2096300312	2007
19820366	jingfu liu	2119763375	2010
19820366	xiang yu	2137005904	2011
20231570	fang jing	2059994571	2001
82880672	huai jinpeng	2147468748	2005
149594827	jiao licheng	2643812006	2002
184983240	liu yichun	2623618940	2007
37461747	chuluo yang	1637265637	2011
19820366	cao daomin	2096593387	2004
205237279	xiaoqing zhu	2317205900	2001
19820366	huang mingdong	2138730132	2006
126520041	yongfei zheng	2115096685	1994
20231570	chunjing wei	2149890508	2005
19820366	hong liao	2599095413	2008
19820366	wu xiaoguang	2529592301	2001
47720641	xiao yi	2177245446	2005
881766915	qingyu wu	2464372715	1995
19820366	hong li	2223707507	2013
19820366	congqiang liu	2105946567	1996
19820366	jinshui wu	2101729186	1999
19820366	li wang	2736152990	2002
19820366	ke xu	2207345732	2013
19820366	yao yijian	2136933829	2000
19820366	weicai yang	2506769544	2004
19820366	lin wei	2138250145	2012
20231570	pengfei tu	2483316828	2005
76130692	wu zhaohui	2096883221	2005
19820366	hu weiming	2614311846	2008
19820366	feiyue wang	2489575497	2001
19820366	jing liu	2603841987	2003
19820366	deng feng	2289626938	2004
19820366	chun tang	2113871370	2012
19820366	li zhaoliang	2251034904	2004
47720641	xinliang zhang	2161348131	2011
111381250	hailin zhang	2137165949	2003
183067930	xu yuhong	2086581877	2008
19820366	long mian	2113950879	2002
881766915	sun zhiwei	2104117573	2004
19820366	yin zhan	2293648838	2009
19820366	cao rong	2104810978	2003
76214153	desheng xue	2165112351	2009
37461747	daiwen pang	2118137145	2000
19820366	yunlin zhang	2106156992	2013
126520041	cui hua	2425617645	2006
9086337	dong jinxiang	2245092705	2008
19820366	chen chuanfeng	2618792320	2006
19820366	huang yongzhen	2303091550	2002
20231570	hanqing zheng	2167316255	2009
881766915	cheng jianchun	2519154089	2001
194450716	hu ping	2016189893	2001
126520041	haojun liang	2157655962	2005
21945476	李和兴	2517218746	2008
19820366	bao yang	2585796070	2013
19820366	yuan zengqiang	2585426535	2011
19820366	changqing zeng	1910347612	2002
19820366	fei xu	2420797795	2003
19820366	chen ming	2129418036	1998
19820366	jianghua sun	2130647009	2005
19820366	dehua wang	2114268393	2006
76130692	liu weiping	2138812682	2002
76130692	ping wang	2163876039	2007
19820366	jianlin luo	2142600833	2010
87445476	guang xi	2017396131	2007
19820366	jianqi li	2499187671	2002
19820366	gao hongjun	2136816253	2001
39333907	fucheng zhang	2171646946	2009
180726961	wang yiping	2155024381	2014
19820366	guo lianghong	2135958607	2008
99065089	yongfa zhu	2106917834	2009
19820366	hong wu	2155500052	2012
19820366	mei zhang	2121443691	2011
19820366	liu minghua	2528072962	2000
99065089	li shao	2129593249	2012
158842170	fusheng pan	2146048256	2007
87445476	li shengtao	2124225101	2006
90610280	gang wei	2299437103	2006
205237279	jianguo tian	2107803903	2000
19820366	qie xiushu	2167979857	2003
19820366	deng youquan	2120394816	2002
37461747	chen hua	2245040899	2000
881766915	gu shulin	2506920196	2010
194450716	chen hong	2155752892	2007
19820366	liu yimin	2167758628	2009
19820366	baolong shen	2428973165	2008
19820366	boqiang qin	2154538814	2008
19820366	yan yihua	2169899449	2002
19820366	fengtang yang	2157960410	2000
19820366	wanhua zheng	2124980087	2010
881766915	sun weiyin	1968812139	2004
19820366	jianmin wang	2122451041	2003
881766915	jilin zhou	2121799127	2009
20231570	chen peng	2578399752	2012
191208505	jiang yunbao	2309164315	2004
9916479	han hua	1126371583	2004
3923682	cao yongluo	2490185788	2011
204553293	gensheng li	2174116335	2001
19820366	xunhua zheng	2420186739	2004
